code,trade_date,ts_code,name,vol,ratio,exchange
93236,20191231,603236.SH,移远通信,32906,0.14,SH
93236,20191230,603236.SH,移远通信,31706,0.14,SH
93236,20191228,603236.SH,移远通信,51006,0.22,SH
93236,20191227,603236.SH,移远通信,51006,0.22,SH
93236,20191224,603236.SH,移远通信,74306,0.33,SH
93236,20191223,603236.SH,移远通信,74306,0.33,SH
93236,20191221,603236.SH,移远通信,74305,0.33,SH
93236,20191220,603236.SH,移远通信,74305,0.33,SH
93236,20191219,603236.SH,移远通信,86005,0.38,SH
93236,20191218,603236.SH,移远通信,46300,0.2,SH
93236,20191217,603236.SH,移远通信,26600,0.11,SH
93236,20191216,603236.SH,移远通信,1800,0.0,SH
93236,20201231,603236.SH,移远通信,6154334,8.66,SH
93236,20201230,603236.SH,移远通信,6187086,8.71,SH
93236,20201229,603236.SH,移远通信,6108956,8.6,SH
93236,20201228,603236.SH,移远通信,6051715,8.52,SH
93236,20201224,603236.SH,移远通信,6153130,8.66,SH
93236,20201223,603236.SH,移远通信,6153130,8.66,SH
93236,20201222,603236.SH,移远通信,6042864,8.5,SH
93236,20201221,603236.SH,移远通信,6048863,8.51,SH
93236,20201219,603236.SH,移远通信,6011463,8.46,SH
93236,20201218,603236.SH,移远通信,6011463,8.46,SH
93236,20201217,603236.SH,移远通信,5995843,8.44,SH
93236,20201216,603236.SH,移远通信,5988483,8.43,SH
93236,20201215,603236.SH,移远通信,5992432,8.43,SH
93236,20201214,603236.SH,移远通信,5946033,8.37,SH
93236,20201212,603236.SH,移远通信,5943234,8.36,SH
93236,20201211,603236.SH,移远通信,5943234,8.36,SH
93236,20201210,603236.SH,移远通信,6041695,8.5,SH
93236,20201209,603236.SH,移远通信,6065363,8.54,SH
93236,20201208,603236.SH,移远通信,6052705,8.52,SH
93236,20201207,603236.SH,移远通信,6012034,8.46,SH
93236,20201205,603236.SH,移远通信,5997194,8.44,SH
93236,20201204,603236.SH,移远通信,5997194,8.44,SH
93236,20201203,603236.SH,移远通信,5996645,8.44,SH
93236,20201202,603236.SH,移远通信,5944704,8.37,SH
93236,20201201,603236.SH,移远通信,5907124,8.31,SH
93236,20201130,603236.SH,移远通信,5857304,8.24,SH
93236,20201128,603236.SH,移远通信,5834146,8.21,SH
93236,20201127,603236.SH,移远通信,5834146,8.21,SH
93236,20201126,603236.SH,移远通信,5817946,8.19,SH
93236,20201125,603236.SH,移远通信,5821046,8.19,SH
93236,20201124,603236.SH,移远通信,5763046,8.11,SH
93236,20201123,603236.SH,移远通信,5759306,8.1,SH
93236,20201121,603236.SH,移远通信,5631140,7.92,SH
93236,20201120,603236.SH,移远通信,5631140,7.92,SH
93236,20201119,603236.SH,移远通信,5574154,7.84,SH
93236,20201118,603236.SH,移远通信,5567339,7.83,SH
93236,20201117,603236.SH,移远通信,5598599,7.88,SH
93236,20201116,603236.SH,移远通信,5548003,7.81,SH
93236,20201114,603236.SH,移远通信,5457003,7.68,SH
93236,20201113,603236.SH,移远通信,5457003,7.68,SH
93236,20201112,603236.SH,移远通信,5454471,7.68,SH
93236,20201111,603236.SH,移远通信,5478871,7.71,SH
93236,20201110,603236.SH,移远通信,5499771,7.74,SH
93236,20201109,603236.SH,移远通信,5446311,7.66,SH
93236,20201107,603236.SH,移远通信,5386521,7.58,SH
93236,20201106,603236.SH,移远通信,5386521,7.58,SH
93236,20201105,603236.SH,移远通信,5287271,7.44,SH
93236,20201104,603236.SH,移远通信,5259841,7.4,SH
93236,20201103,603236.SH,移远通信,5270041,7.42,SH
93236,20201102,603236.SH,移远通信,5274821,7.42,SH
93236,20201031,603236.SH,移远通信,5341170,7.52,SH
93236,20201030,603236.SH,移远通信,5341170,7.52,SH
93236,20201029,603236.SH,移远通信,5090143,7.16,SH
93236,20201028,603236.SH,移远通信,4901541,6.9,SH
93236,20201027,603236.SH,移远通信,4898214,6.89,SH
93236,20201024,603236.SH,移远通信,4850781,6.83,SH
93236,20201023,603236.SH,移远通信,4850781,6.83,SH
93236,20201022,603236.SH,移远通信,4850781,6.83,SH
93236,20201021,603236.SH,移远通信,4862982,6.84,SH
93236,20201020,603236.SH,移远通信,4900862,6.9,SH
93236,20201019,603236.SH,移远通信,4878485,6.86,SH
93236,20201017,603236.SH,移远通信,4756410,6.69,SH
93236,20201016,603236.SH,移远通信,4756410,6.69,SH
93236,20201015,603236.SH,移远通信,4797151,6.75,SH
93236,20201014,603236.SH,移远通信,4802894,6.76,SH
93236,20201012,603236.SH,移远通信,4762839,6.7,SH
93236,20201010,603236.SH,移远通信,4804759,6.76,SH
93236,20201009,603236.SH,移远通信,4804759,6.76,SH
93236,20201008,603236.SH,移远通信,4807489,6.76,SH
93236,20201007,603236.SH,移远通信,4807489,6.76,SH
93236,20201006,603236.SH,移远通信,4807489,6.76,SH
93236,20201005,603236.SH,移远通信,4807489,6.76,SH
93236,20201003,603236.SH,移远通信,4807489,6.76,SH
93236,20200930,603236.SH,移远通信,4807489,6.76,SH
93236,20200929,603236.SH,移远通信,4713294,6.63,SH
93236,20200928,603236.SH,移远通信,4831312,6.8,SH
