ts_code,ann_date,f_ann_date,end_date,report_type,total_revenue,revenue,operate_profit,total_profit,n_income,n_income_attr_p
300590.SZ,20260423,20260423,20260331,1,312463864.69,312463864.69,58236754.92,58268589.08,51755684.51,51929933.23
300590.SZ,20260423,20260423,20251231,1,891101464.89,891101464.89,75908212.16,76696239.44,74310726.33,74558287.84
300590.SZ,20251029,20251029,20250930,1,582306591.12,582306591.12,64524464.84,64195573.63,61502796.6,61625731.16
300590.SZ,20250731,20250731,20250630,1,359970806.21,359970806.21,32874227.5,32546844.54,31019989.65,31019989.65
300590.SZ,20250425,20250425,20250331,1,156804967.82,156804967.82,10510535.55,10556940.12,9786310.16,9786310.16
300590.SZ,20250425,20250425,20241231,1,966879882.73,966879882.73,168765787.33,168598963.64,158610043.82,158610043.82
300590.SZ,20241029,20241029,20240930,1,693746691.21,693746691.21,143376516.49,143409017.7,133943830.43,133943830.43
300590.SZ,20240727,20240727,20240630,1,477552775.2,477552775.2,107619549.06,107647490.86,98694929.5,98694929.5
300590.SZ,20240422,20240422,20240331,1,212251071.44,212251071.44,37938040.83,37938014.37,35436403.37,35436403.37
300590.SZ,20240422,20240422,20231231,1,1015760387.49,1015760387.49,154085879.93,154438649.12,146748172.08,146748172.08
300590.SZ,20231024,20231024,20230930,1,651325905.84,651325905.84,102662046.11,103511502.63,98205346.2,98205346.2
300590.SZ,20230722,20230722,20230630,1,423837683.36,423837683.36,63719046.36,64627744.7,61984208.33,61984208.33
300590.SZ,20230722,20230722,20230630,1,423837683.36,423837683.36,63719046.36,64627744.7,61984208.33,61984208.33
300590.SZ,20230425,20230425,20230331,1,176156732.91,176156732.91,18773533.0,19682091.64,19357341.22,19357341.22
300590.SZ,20230425,20230425,20221231,1,1002223028.81,1002223028.81,177210668.98,177251125.64,165433185.16,165433185.16
300590.SZ,20221025,20221025,20220930,1,729225533.39,729225533.39,152294491.86,152293559.14,139197129.99,139197129.99
300590.SZ,20220721,20220721,20220630,1,486517658.44,486517658.44,92572550.96,92569967.33,85039182.95,85039182.95
300590.SZ,20220414,20220414,20220331,1,209743278.84,209743278.84,19292275.51,19293887.41,18940045.81,18940045.81
300590.SZ,20220414,20220414,20220331,1,209743278.84,209743278.84,19292275.51,19293887.41,18940045.81,18940045.81
300590.SZ,20220414,20220414,20211231,1,920739607.53,920739607.53,167196009.97,167329977.21,155552335.42,155552335.42
300590.SZ,20220414,20220414,20211231,1,920739607.53,920739607.53,167196009.97,167329977.21,155552335.42,155552335.42
300590.SZ,20211027,20211027,20210930,1,603125491.35,603125491.35,121083237.65,121216593.94,111797728.37,111797728.37
300590.SZ,20211027,20211027,20210930,1,603125491.35,603125491.35,121083237.65,121216593.94,111797728.37,111797728.37
300590.SZ,20210721,20210721,20210630,1,398287231.96,398287231.96,79814463.55,79911664.84,72452997.57,72452997.57
300590.SZ,20210424,20210424,20210331,1,152551585.8,152551585.8,28635707.67,28653564.09,24734512.28,24734512.28
300590.SZ,20210424,20210424,20201231,1,472677180.93,472677180.93,90252399.35,99933445.89,90468325.47,90468325.47
300590.SZ,20210424,20210424,20201231,1,472677180.93,472677180.93,90252399.35,99933445.89,90468325.47,90468325.47
300590.SZ,20201029,20201029,20200930,1,303451052.1,303451052.1,63528445.15,73409366.64,62265582.13,62265582.13
300590.SZ,20201029,20201029,20200930,1,303451052.1,303451052.1,63528445.15,73409366.64,62265582.13,62265582.13
300590.SZ,20200828,20200828,20200630,1,183466354.19,183466354.19,40200091.71,49615401.59,42070388.86,42070388.86
300590.SZ,20200828,20200828,20200630,1,183466354.19,183466354.19,40200091.71,49615401.59,42070388.86,42070388.86
300590.SZ,20200428,20200428,20200331,1,96496118.82,96496118.82,19062270.53,22939508.06,19225491.78,19225491.78
300590.SZ,20200428,20200428,20200331,1,96496118.82,96496118.82,19062270.53,22939508.06,19225491.78,19225491.78
300590.SZ,20200428,20200428,20191231,1,629466317.14,629466317.14,170655407.29,174033130.85,162267290.28,162267290.28
300590.SZ,20200428,20200428,20191231,1,629466317.14,629466317.14,170655407.29,174033130.85,162267290.28,162267290.28
300590.SZ,20191028,20191028,20190930,1,433241616.16,433241616.16,108827947.22,112204669.78,99260236.38,99260236.38
300590.SZ,20191028,20191028,20190930,1,433241616.16,433241616.16,108827947.22,112204669.78,99260236.38,99260236.38
300590.SZ,20190815,20190815,20190630,1,272950453.1,272950453.1,68570569.51,70633192.9,63056529.63,63056529.63
300590.SZ,20190815,20190815,20190630,1,272950453.1,272950453.1,68570569.51,70633192.9,63056529.63,63056529.63
300590.SZ,20190429,20190429,20190331,1,134047576.92,134047576.92,30222929.13,30243552.52,26979245.35,26979245.35
300590.SZ,20190316,20190316,20181231,1,476221676.86,476221676.86,128945197.15,135222102.94,124600313.91,124600313.91
300590.SZ,20190316,20190316,20181231,1,476221676.86,476221676.86,128945197.15,135222102.94,124600313.91,124600313.91
300590.SZ,20181030,20181030,20180930,1,304658458.82,304658458.82,90611914.6,95099045.79,82467740.16,82467740.16
300590.SZ,20180817,20180817,20180630,1,187863210.78,187863210.78,55472029.07,56695918.36,48709847.49,48709847.49
300590.SZ,20180427,20180427,20180331,1,74578395.6,74578395.6,6553250.04,7125698.66,5724692.16,5724692.16
300590.SZ,20180228,20180228,20171231,1,362445850.79,362445850.79,104070361.78,110482028.24,96938481.59,96938481.59
300590.SZ,20171030,20171030,20170930,1,211967372.77,211967372.77,67165959.12,72954032.23,60593584.52,60593584.52
300590.SZ,20170811,20170811,20170630,1,142108162.35,142108162.35,51249213.22,53231140.5,44210991.18,44210991.18
300590.SZ,20170427,20170427,20170331,1,59992091.59,59992091.59,20858217.09,20923284.59,17282404.59,17282404.59
300590.SZ,20170418,20170418,20161231,1,270154213.36,270154213.36,105489065.12,110436181.9,95269351.52,95269351.52
300590.SZ,20170427,20170427,20160331,1,58388580.71,58388580.71,17433417.99,18145991.99,15314468.61,15314468.61
