ts_code,ann_date,f_ann_date,end_date,report_type,total_revenue,revenue,operate_profit,total_profit,n_income,n_income_attr_p
688618.SH,20260430,20260430,20260331,1,68758686.09,68758686.09,-1195208.87,-1159813.69,-854106.99,-854106.99
688618.SH,20260430,20260430,20260331,1,68758686.09,68758686.09,-1195208.87,-1159813.69,-854106.99,-854106.99
688618.SH,20260430,20260430,20251231,1,357690154.64,357690154.64,34869062.7,34793376.38,35971024.68,35971024.68
688618.SH,20251031,20251031,20250930,1,262148096.49,262148096.49,37102532.03,37071953.37,34871734.73,34871734.73
688618.SH,20251031,20251031,20250930,1,262148096.49,262148096.49,37102532.03,37071953.37,34871734.73,34871734.73
688618.SH,20250829,20250829,20250630,1,172101001.49,172101001.49,14075128.89,14085763.69,16030351.28,16030351.28
688618.SH,20250829,20250829,20250630,1,172101001.49,172101001.49,14075128.89,14085763.69,16030351.28,16030351.28
688618.SH,20250430,20250430,20250331,1,80785590.15,80785590.15,8289040.6,8296849.81,7972658.96,7972658.96
688618.SH,20250430,20250430,20241231,1,356839594.79,356839594.79,31901646.1,31761370.73,32824211.23,32824211.23
688618.SH,20241031,20241031,20240930,1,244537242.49,244537242.49,35274959.52,35252253.24,33280179.63,33280179.63
688618.SH,20240829,20240829,20240630,1,156383165.08,156383165.08,27328823.85,27321659.99,25332074.46,25332074.46
688618.SH,20240426,20240426,20240331,1,75496059.07,75496059.07,16740584.19,16738955.23,15462591.56,15462591.56
688618.SH,20240327,20240327,20231231,1,439425959.66,439425959.66,122448778.67,122614366.93,108809874.66,109346143.17
688618.SH,20231031,20231031,20230930,1,309320191.37,309320191.37,85438704.28,85518993.5,76277642.83,76814496.24
688618.SH,20230826,20230826,20230630,1,198995821.08,198995821.08,43799472.6,43826373.86,39393270.36,39930123.77
688618.SH,20230427,20230427,20230331,1,71707945.27,71707945.27,12123221.33,12102002.22,11407597.78,11629062.83
688618.SH,20230329,20230329,20221231,1,335688473.71,335688473.71,102583497.39,102221760.34,95451254.5,96089834.69
688618.SH,20230329,20230329,20221231,1,335688473.71,335688473.71,102583497.39,102221760.34,95451254.5,96089834.69
688618.SH,20221029,20221029,20220930,1,219609714.74,219609714.74,64349220.47,64419907.22,61216537.71,61703522.65
688618.SH,20220824,20220824,20220630,1,130770431.63,130770431.63,29923885.67,29962846.3,29719542.67,29947063.62
688618.SH,20220430,20220430,20220331,1,54530853.66,54530853.66,8404464.88,8422396.67,8400893.58,8548177.59
688618.SH,20220430,20220430,20220331,1,54530853.66,54530853.66,8404464.88,8422396.67,8400893.58,8548177.59
688618.SH,20220423,20220423,20211231,1,253851727.43,253851727.43,64358467.61,64391142.52,60287556.07,60422374.02
688618.SH,20220423,20220423,20211231,1,253851727.43,253851727.43,64358467.61,64391142.52,60287556.07,60422374.02
688618.SH,20211028,20211028,20210930,1,171918551.02,171918551.02,46300183.27,46343794.51,42020837.33,42020837.33
688618.SH,20210830,20210830,20210630,1,105464345.4,105464345.4,28543627.64,28577360.35,25206883.04,25206883.04
688618.SH,20210429,20210429,20210331,1,38816423.51,38816423.51,5823047.42,5827523.42,5772229.92,5772229.92
688618.SH,20210423,20210423,20201231,1,209193068.15,209193068.15,69120498.75,69171997.74,64432071.61,64432071.61
688618.SH,20210423,20210423,20201231,1,209193068.15,209193068.15,69120498.75,69171997.74,64432071.61,64432071.61
688618.SH,20210429,20210429,20200331,1,27800758.48,27800758.48,7697008.91,7717721.08,7361485.16,7361485.16
