ts_code,ann_date,f_ann_date,end_date,report_type,total_revenue,revenue,operate_profit,total_profit,n_income,n_income_attr_p
920249.BJ,20260422,20260422,20260331,1,647981235.89,647981235.89,21319198.55,21021200.96,14440277.62,14758594.49
920249.BJ,20260416,20260416,20251231,1,2431802095.91,2431802095.91,52721208.47,52670993.95,41896214.36,42327542.22
920249.BJ,20251030,20251030,20250930,1,1795935773.85,1795935773.85,22717752.51,23586509.91,17692624.4,17407123.67
920249.BJ,20250820,20250820,20250630,1,1171610876.11,1171610876.11,14235334.0,14339019.41,10598487.97,10651424.25
920249.BJ,20250429,20250429,20250331,1,525680898.52,525680898.52,3283579.19,3317626.4,2866396.26,2971513.27
920249.BJ,20250429,20250429,20241231,1,1958363348.93,1958363348.93,-121233641.3,-120395018.33,-108740064.68,-107833423.59
920249.BJ,20241031,20241031,20240930,1,1462224996.15,1462224996.15,-55991307.94,-56398805.62,-49455053.1,-48590460.72
920249.BJ,20240830,20240830,20240630,1,936974380.77,936974380.77,-46711340.05,-47208981.15,-41779648.66,-41058430.79
920249.BJ,20240427,20240427,20240331,1,441231064.38,441231064.38,-25009683.37,-25020608.33,-25670698.17,-25432607.18
920249.BJ,20240427,20240427,20231231,1,2426230950.54,2426230950.54,-8364132.52,-10992889.84,-6539658.23,-6016028.93
920249.BJ,20240427,20260131,20231231,1,2426958490.03,2426958490.03,-14995706.57,-17624463.89,-13353117.15,-12809487.85
920249.BJ,20231028,20231028,20230930,1,1676740778.32,1676740778.32,-3284357.2,-5585479.03,-2790734.48,-1392403.29
920249.BJ,20230831,20230831,20230630,1,1064716865.94,1064716865.94,6689210.8,6135881.29,4807415.68,5467811.65
920249.BJ,20230427,20230427,20230331,1,493237548.64,493237548.64,11590341.28,11079633.32,7270978.61,7651584.21
920249.BJ,20230427,20230427,20221231,1,2578303266.5,2578303266.5,126277407.55,125576393.68,112323414.91,110530874.43
