ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit,rd_exp,fin_exp_int_exp,fin_exp_int_inc,transfer_surplus_rese,transfer_housing_imprest,transfer_oth,adj_lossgain,withdra_legal_surplus,withdra_legal_pubfund,withdra_biz_devfund,withdra_rese_fund,withdra_oth_ersu,workers_welfare,distr_profit_shrhder,prfshare_payable_dvd,comshare_payable_dvd,capit_comstock_div,continued_net_profit,update_flag
002313.SZ,20260428,20260428,20260331,1,1,1,0.0263,0.0263,670314229.97,670314229.97,,,,,,,,,,,,,,,,-100396.24,-100396.24,,667674980.15,579214303.21,,,2584319.72,13346131.7,33786535.29,13093692.75,4803259.95,,,,,,,,,,,9805000.65,532273.33,469681.83,,9867592.15,14079.48,9853512.67,9859696.13,-6183.46,3530315.47,13383828.14,13390011.6,-6183.46,18046595.66,,,,,40168420.99,11224059.54,669901.77,,,,,,,,,,,,,,,9853512.67,1
002313.SZ,20260423,20260423,20251231,1,1,4,-0.61,-0.61,2754267373.77,2754267373.77,,,,,,,,,,,,,,,-41513.05,214178.09,-11043.52,,2990639072.63,2300255191.48,,,10609157.61,101516435.63,202258916.88,78607436.7,-36081172.95,,,,,,,,,,,-224867641.47,5267444.75,43858518.7,,-263458715.42,-35693721.46,-227764993.96,-227846304.37,81310.41,-11006934.86,-238771928.82,-238853239.23,81310.41,-135747315.53,-14841780.42,,,,216154277.97,75316339.02,5345130.71,,,,,,,,,,,,,,,-233833659.53,1
002313.SZ,20251027,20251027,20250930,1,1,3,-0.1464,-0.1464,2006986116.74,2006986116.74,,,,,,,,,,,,,,,-36214.07,-1576535.03,-581080.43,,2043011030.11,1669368940.79,,,6187141.56,70188024.39,149318578.94,60102075.21,-3892188.21,,,,,,,,,,,-27410663.88,832698.41,24059342.38,,-50637307.85,4073223.13,-54710530.98,-54795112.06,84581.08,1699823.43,-53010707.55,-53095288.63,84581.08,37640073.14,,,,,116859796.07,56825754.45,2316213.97,,,,,,,,,,,,,,,-54710530.98,1
002313.SZ,20250827,20250827,20250630,1,1,2,-0.1162,-0.1162,1314222368.83,1314222368.83,,,,,,,,,,,,,,,-33564.26,-1452897.75,-457443.15,,1342921456.59,1097806996.07,,,4000005.5,47375242.14,98895836.85,41882948.3,2973008.19,,,,,,,,,,,-26883226.2,873442.14,15769306.79,,-41779090.85,1674788.93,-43453879.78,-43492622.5,38742.72,660042.83,-42793836.95,-42832579.67,38742.72,17373570.91,80984879.48,,,,80476418.13,40408089.59,2113218.5,,,,,,,,,,,,,,,-43453879.78,1
002313.SZ,20250422,20250422,20250331,1,1,1,-0.08,-0.08,612652786.94,612652786.94,,,,,,,,,,,,,,,-30031.18,-1270211.23,-274756.63,,639160664.84,506581429.26,,,1703352.73,24728897.99,47282228.98,24408609.44,3839234.05,,,,,,,,,,,-26372729.98,152554.02,3590674.55,,-29810850.51,117696.51,-29928547.02,-29940567.38,12020.36,585231.46,-29343315.56,-29355335.92,12020.36,-4504882.09,,,,,44520374.11,22689766.1,262544.38,,,,,,,,,,,,,,,-29928547.02,1
002313.SZ,20250321,20250321,20241231,1,1,4,-0.36,-0.36,2977725668.64,2977725668.64,,,,,,,,,,,,,,,48579.85,8801293.55,481066.17,0.0,3092477844.67,2452051693.2,,,11268692.94,96415546.71,188535466.37,99239508.35,1944952.57,,,,,,,,,,,-83231292.56,14055876.67,65379990.78,,-134555406.67,-764243.47,-133791163.2,-133734533.39,-56629.81,-270730.22,-134061893.42,-134005263.61,-56629.81,5968549.3,149860862.83,,,,258256822.88,98271996.77,6442966.23,,,,,,,,,,,,,,,-133791163.2,1
002313.SZ,20241031,20241031,20240930,1,1,3,-0.2121,-0.2121,2312791813.54,2312791813.54,,,,,,,,,,,,,,,21198.48,6919293.86,-514563.6,,2379079787.8,1891253182.67,,,8923846.01,77191046.6,141787398.04,77218008.71,7237409.39,,,,,,,,,,,-42753930.25,4739643.27,39108866.5,,-77123153.48,2352124.24,-79475277.72,-79421263.31,-54014.41,1615801.24,-77859476.48,-77805462.07,-54014.41,18482365.01,,,,,193761223.64,70417140.93,2304840.21,,,,,,,,,,,,,,,-79475277.72,1
002313.SZ,20240810,20240810,20240630,1,1,2,-0.1015,-0.1015,1612720650.61,1612720650.61,,,,,,,,,,,,,,,883.27,50751.96,-155583.51,,1653078459.9,1318682888.27,,,6287702.87,52501328.99,96418305.83,51632874.84,-1058525.38,,,,,,,,,,,-28375147.2,3863785.82,12088820.19,,-36600181.57,1462350.49,-38062532.06,-38016587.68,-45944.38,-1119040.02,-39181572.08,-39135627.7,-45944.38,26531489.56,108621306.32,,,,124530136.31,48634025.85,3709819.39,,,,,,,,,,,,,,,-38062532.06,1
002313.SZ,20240423,20240423,20240331,1,1,1,-0.0243,-0.0243,806974784.61,806974784.61,,,,,,,,,,,,,,,,-17945.37,-17945.37,,807701908.76,664244402.15,,,2687500.83,24002337.29,49836832.06,24598049.26,-5163277.0,,,,,,,,,,,2930044.32,996955.25,4629707.79,,-702708.22,8389720.07,-9092428.29,-9088832.92,-3595.37,-558654.67,-9651082.96,-9647487.59,-3595.37,30796902.48,,,,,49227712.07,22088422.95,787135.3,,,,,,,,,,,,,,,-9092428.29,1
002313.SZ,20240329,20240329,20231231,1,1,4,-0.97,-0.97,2829871733.89,2829871733.89,,,,,,,,,,,,,,,0.0,1025801.69,1025801.69,0.0,3228090548.16,2344480231.09,,,11818992.93,125272392.77,219559859.55,83045411.21,-66438325.55,,,,,,,,,,,-369807658.93,5387134.57,20279052.09,,-384699576.45,-19942103.82,-364757472.63,-364526374.72,-231097.91,-87312058.29,-452069530.92,-451838433.01,-231097.91,-269236254.82,-112718115.07,,,,271383193.05,83767234.29,5870890.33,,,,,,,,,,,,,,,-364757472.63,1
