ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit,rd_exp,fin_exp_int_exp,fin_exp_int_inc,transfer_surplus_rese,transfer_housing_imprest,transfer_oth,adj_lossgain,withdra_legal_surplus,withdra_legal_pubfund,withdra_biz_devfund,withdra_rese_fund,withdra_oth_ersu,workers_welfare,distr_profit_shrhder,prfshare_payable_dvd,comshare_payable_dvd,capit_comstock_div,continued_net_profit,update_flag
688159.SH,20260430,20260430,20260331,1,1,1,0.3,0.3,549091583.49,549091583.49,,,,,,,,,,,,,,,,-1060127.32,-1060127.32,,516810497.78,438619620.32,,,1348343.35,11790529.63,16387414.02,9872047.0,-15315193.48,,,,,,,,,,,31417909.96,1800.0,1459.14,,31418250.82,3959767.9,27458482.92,27806020.27,-347537.35,,27458482.92,27806020.27,-347537.35,57665277.76,,,,,23919254.56,8517839.51,-9403394.15,,,,,,,,,,,,,,,27458482.92,1
688159.SH,20260430,20260430,20251231,1,1,4,0.3,0.29,2405293805.69,2405293805.69,,,,,,,,,,,,,,,,-2458499.2,-1069169.67,,2384101676.62,2087275703.02,,,4806396.1,50637124.03,54545573.4,36113463.58,-15528412.12,,,,,,,,,,,21080763.54,29657.05,461292.7,,20649127.89,-4959950.28,25609078.17,27341325.51,-1732247.34,,25609078.17,27341325.51,-1732247.34,61226856.49,105621417.36,,,,76103720.61,35583593.37,2479851.15,,,,,,,,,,,,,,,25609078.17,1
688159.SH,20251030,20260430,20250930,1,1,3,0.9,0.9,2175314798.15,2175314798.15,,,,,,,,,,,,,,,,-2635418.31,-1596644.34,,2084102430.35,1910127839.84,,,2789220.04,37028982.47,38800723.53,28092294.74,-9301193.73,,,,,,,,,,,90729171.85,17365.7,993244.04,,89753293.51,7956455.98,81796837.53,83425548.09,-1628710.56,,81796837.53,83425548.09,-1628710.56,130646086.77,,,,,56074554.1,26427805.9,606342.22,,,,,,,,,,,,,,,81796837.53,1
688159.SH,20251030,20251030,20250930,1,1,3,0.9,0.9,3035747758.95,3035747758.95,,,,,,,,,,,,,,,,-2635418.31,-1596644.34,,2944535391.15,2770560800.64,,,2789220.04,37028982.47,38800723.53,28092294.74,-9301193.73,,,,,,,,,,,90729171.85,17365.7,993244.04,,89753293.51,7956455.98,81796837.53,83425548.09,-1628710.56,,81796837.53,83425548.09,-1628710.56,130646086.77,,,,,56074554.1,26427805.9,606342.22,,,,,,,,,,,,,,,81796837.53,1
688159.SH,20250828,20250828,20250630,1,1,2,0.69,0.69,2452259861.9,2452259861.9,,,,,,,,,,,,,,,,-1932431.52,-893657.55,,2383154368.48,2264248903.89,,,1981448.1,25588187.41,27851294.55,16545824.26,-4664919.37,,,,,,,,,,,69174373.58,10783.65,754745.9,,68430411.33,5892650.11,62537761.22,63564096.47,-1026335.25,,62537761.22,63564096.47,-1026335.25,87926855.38,106570827.12,,,,39446426.59,15729895.61,363094.94,,,,,,,,,,,,,,,62537761.22,1
688159.SH,20250828,20260430,20250630,1,1,2,0.69,0.69,1673117443.08,1673117443.08,,,,,,,,,,,,,,,,-1932431.52,-893657.55,,1604011949.66,1485106485.07,,,1981448.1,25588187.41,27851294.55,16545824.26,-4664919.37,,,,,,,,,,,69174373.58,10783.65,754745.9,,68430411.33,5892650.11,62537761.22,63564096.47,-1026335.25,,62537761.22,63564096.47,-1026335.25,87926855.38,106570827.12,,,,39446426.59,15729895.61,363094.94,,,,,,,,,,,,,,,62537761.22,1
688159.SH,20250430,20250430,20250331,1,1,1,0.19,0.19,1057757239.81,1057757239.81,,,,,,,,,,,,,,,,-1270480.02,-1270480.02,,1036072032.96,977443589.14,,,959973.44,12815086.07,12281037.06,9024095.32,-3212170.16,,,,,,,,,,,20743979.44,10783.65,440440.2,,20314322.89,3449091.15,16865231.74,17599519.06,-734287.32,,16865231.74,17599519.06,-734287.32,34250724.94,,,,,17250877.47,8519808.36,104167.91,,,,,,,,,,,,,,,16865231.74,1
688159.SH,20250430,20250430,20241231,1,1,4,1.09,1.09,3069150858.65,3069150858.65,,,,,,,,,,,,,,,,2223038.69,2575674.09,,3004263988.35,2735188182.42,,,3852572.61,42824571.76,54282114.68,23092993.54,-16361946.08,,,,,,,,,,,95339304.65,2131409.7,73691.62,,97397022.73,1637504.09,95759518.64,100246267.87,-4486749.23,,95759518.64,100246267.87,-4486749.23,115233527.56,151591445.79,,,,86999683.06,24714914.87,1822553.55,,,,,,,,,,,,,,,95759518.64,1
688159.SH,20241030,20241030,20240930,1,1,3,1.03,0.97,2569560980.08,2569560980.08,,,,,,,,,,,,,,,,117151.18,117151.18,,2485138668.61,2323713142.32,,,2675536.63,33394602.23,38168492.1,18793193.87,-7582727.42,,,,,,,,,,,103571359.59,1173.34,87943.41,,103484589.52,11539569.9,91945019.62,95278381.32,-3333361.7,,91945019.62,95278381.32,-3333361.7,129761325.58,,,,,61611217.67,19973380.09,1592810.04,,,,,,,,,,,,,,,91945019.62,1
688159.SH,20240830,20240830,20240630,1,1,2,0.89,0.83,1763511726.05,1763511726.05,,,,,,,,,,,,,,,,-836986.07,-836986.07,,1688608587.24,1580609399.91,,,1780272.2,24072645.78,25375230.49,12562247.64,-7152201.53,,,,,,,,,,,89760776.19,365.19,5281.41,,89755859.97,10263761.59,79492098.38,81592264.23,-2100165.85,,79492098.38,81592264.23,-2100165.85,103093156.86,120572487.31,,,,43402317.5,13462698.3,975036.74,,,,,,,,,,,,,,,79492098.38,1
