trade_date,ts_code,rzye,rqye,rzmre,rqyl,rzche,rqchl,rqmcl,rzrqye
20221230,002881.SZ,18848624.0,201544.0,438597.0,7540.0,590161.0,2700.0,2800.0,19050168.0
20221229,002881.SZ,19000188.0,198127.0,753213.0,7440.0,763909.0,2800.0,3900.0,19198315.0
20221228,002881.SZ,19010884.0,168961.0,1213345.0,6340.0,1219575.0,4800.0,4300.0,19179845.0
20221227,002881.SZ,19017114.0,187279.0,1534872.0,6840.0,598465.0,6800.0,6100.0,19204393.0
20221226,002881.SZ,18080707.0,211874.0,1152740.0,7540.0,534211.0,5000.0,4900.0,18292581.0
20221223,002881.SZ,17462178.0,215754.0,1368406.0,7640.0,1003786.0,7600.0,7640.0,17677932.0
20221222,002881.SZ,17097558.0,208848.0,1344285.0,7600.0,1397433.0,6600.0,7400.0,17306406.0
20221221,002881.SZ,17150706.0,194548.0,679155.0,6800.0,2335603.0,2900.0,2600.0,17345254.0
20221220,002881.SZ,18807154.0,206894.0,1424767.0,7100.0,705617.0,6200.0,5500.0,19014048.0
20221219,002881.SZ,18088004.0,224484.0,1627885.0,7800.0,595417.0,2200.0,2100.0,18312488.0
20221216,002881.SZ,17055536.0,229811.0,2722874.0,7900.0,1854723.0,9500.0,6800.0,17285347.0
20221215,002881.SZ,16187385.0,317788.0,1686600.0,10600.0,960029.0,9000.0,10600.0,16505173.0
20221214,002881.SZ,15460814.0,262890.0,637187.0,9000.0,790007.0,6500.0,6200.0,15723704.0
20221213,002881.SZ,15613634.0,275094.0,2172533.0,9300.0,822128.0,6500.0,5100.0,15888728.0
20221212,002881.SZ,14263229.0,315971.0,1005096.0,10700.0,1562379.0,4700.0,5700.0,14579200.0
20221209,002881.SZ,14820512.0,283240.0,1094224.0,9700.0,1415879.0,3900.0,3000.0,15103752.0
20221208,002881.SZ,15142167.0,312700.0,1545417.0,10600.0,1256030.0,4700.0,4800.0,15454867.0
20221207,002881.SZ,14852780.0,313845.0,1336053.0,10500.0,8264987.0,3900.0,4100.0,15166625.0
20221206,002881.SZ,21781714.0,312193.0,3038512.0,10300.0,2446901.0,0.0,9600.0,22093907.0
20221205,002881.SZ,21190103.0,21343.0,9218315.0,700.0,2190395.0,10748.0,700.0,21211446.0
20221202,002881.SZ,14162183.0,320290.0,2290714.0,10748.0,1515488.0,4152.0,3700.0,14482473.0
20221201,002881.SZ,13386957.0,332416.0,1964705.0,11200.0,798184.0,10700.0,11200.0,13719373.0
20221130,002881.SZ,12220436.0,311263.0,1991143.0,10700.0,971225.0,9104.0,10700.0,12531699.0
20221129,002881.SZ,11200518.0,268750.0,925389.0,9104.0,1789877.0,9100.0,7004.0,11469268.0
20221128,002881.SZ,12065006.0,320656.0,556526.0,11200.0,669821.0,9100.0,11200.0,12385662.0
20221125,002881.SZ,12178301.0,265538.0,636665.0,9100.0,1123871.0,5900.0,4100.0,12443839.0
20221124,002881.SZ,12665507.0,324166.0,988490.0,10900.0,809558.0,10900.0,10600.0,12989673.0
20221123,002881.SZ,12486575.0,330624.0,1475865.0,11200.0,1780532.0,8100.0,11200.0,12817199.0
20221122,002881.SZ,12791242.0,241380.0,2288087.0,8100.0,1601388.0,13800.0,8100.0,13032622.0
20221121,002881.SZ,12104543.0,419520.0,970107.0,13800.0,1926341.0,14200.0,13800.0,12524063.0
20221118,002881.SZ,13060777.0,426000.0,2835246.0,14200.0,3741270.0,14200.0,14200.0,13486777.0
20221117,002881.SZ,13966801.0,433100.0,4865961.0,14200.0,2572268.0,14200.0,14200.0,14399901.0
20221116,002881.SZ,11673108.0,432958.0,4373818.0,14200.0,2020710.0,14200.0,14200.0,12106066.0
20221115,002881.SZ,9320000.0,434378.0,2050533.0,14200.0,2284068.0,14200.0,14200.0,9754378.0
20221114,002881.SZ,9553535.0,409102.0,544081.0,14200.0,2069794.0,14200.0,14200.0,9962637.0
20221111,002881.SZ,11079248.0,419610.0,692145.0,14200.0,1454755.0,14200.0,14200.0,11498858.0
20221110,002881.SZ,11841858.0,419042.0,905881.0,14200.0,516620.0,13700.0,14200.0,12260900.0
20221109,002881.SZ,11452597.0,413466.0,2760940.0,13700.0,490552.0,14100.0,13700.0,11866063.0
20221108,002881.SZ,9182209.0,431319.0,4777546.0,14100.0,2705059.0,5100.0,5000.0,9613528.0
20221107,002881.SZ,7109722.0,446732.0,3900938.0,14200.0,2551545.0,14200.0,14200.0,7556454.0
20221104,002881.SZ,5760329.0,442188.0,1691465.0,14200.0,2701552.0,14200.0,14200.0,6202517.0
20221103,002881.SZ,6770416.0,434662.0,663894.0,14200.0,1130306.0,14140.0,14200.0,7205078.0
20221102,002881.SZ,7236828.0,427452.0,2333478.0,14140.0,912622.0,14200.0,14140.0,7664280.0
20221101,002881.SZ,5815972.0,426000.0,1612811.0,14200.0,1557512.0,14200.0,14200.0,6241972.0
20221031,002881.SZ,5760673.0,408818.0,1385196.0,14200.0,998933.0,14200.0,14200.0,6169491.0
20221028,002881.SZ,5374410.0,407682.0,1354040.0,14200.0,879956.0,14200.0,14200.0,5782092.0
20221027,002881.SZ,4900326.0,418048.0,2377872.0,14200.0,1335711.0,14200.0,14200.0,5318374.0
20221026,002881.SZ,3858165.0,435372.0,2825743.0,14200.0,2048869.0,0.0,14200.0,4293537.0
20221025,002881.SZ,3081291.0,0.0,2766706.0,0.0,918975.0,0.0,0.0,3081291.0
20221024,002881.SZ,1233560.0,0.0,1255201.0,0.0,4750930.0,0.0,0.0,1233560.0
20231229,002881.SZ,177478037.0,2264922.0,6341954.0,83700.0,12491125.0,31300.0,21600.0,179742959.0
20231228,002881.SZ,183627208.0,2479770.0,6374554.0,93400.0,9356903.0,21000.0,40100.0,186106978.0
20231227,002881.SZ,186609557.0,1963749.0,6026024.0,74300.0,2937164.0,29800.0,31500.0,188573306.0
20231226,002881.SZ,183520697.0,1905024.0,5887401.0,72600.0,4721836.0,34700.0,28500.0,185425721.0
20231225,002881.SZ,182355132.0,2068500.0,4562524.0,78800.0,4042342.0,33000.0,47700.0,184423632.0
20231222,002881.SZ,181834950.0,1648011.0,4237843.0,64100.0,6094207.0,29600.0,30300.0,183482961.0
20231221,002881.SZ,183691314.0,1667420.0,5674967.0,63400.0,6632122.0,45366.0,26200.0,185358734.0
20231220,002881.SZ,184648469.0,2142588.0,20190294.0,82566.0,6399959.0,27100.0,37366.0,186791057.0
20231219,002881.SZ,170858134.0,1938363.0,3646374.0,72300.0,6460106.0,29400.0,29000.0,172796497.0
20231218,002881.SZ,173671866.0,1922188.0,5221881.0,72700.0,3800802.0,15800.0,20100.0,175594054.0
20231215,002881.SZ,172250787.0,1819440.0,5137176.0,68400.0,9415170.0,31200.0,32200.0,174070227.0
20231214,002881.SZ,176528781.0,1838672.0,10750109.0,67400.0,15571669.0,29000.0,33300.0,178367453.0
20231213,002881.SZ,181350341.0,1757966.0,7367660.0,63100.0,10504059.0,24200.0,22200.0,183108307.0
