trade_date,ts_code,rzye,rqye,rzmre,rqyl,rzche,rqchl,rqmcl,rzrqye
20201231,688618.SH,23832623.0,24207045.54,17812379.0,451119.0,15401122.0,143251.0,3570.0,48039668.54
20201230,688618.SH,21421366.0,36139236.0,23542770.0,590800.0,2121404.0,0.0,590800.0,57560602.0
20211231,688618.SH,56150470.0,310730.0,2149825.0,7000.0,1844153.0,0.0,0.0,56461200.0
20211230,688618.SH,55844798.0,304500.0,2147462.0,7000.0,651506.0,0.0,0.0,56149298.0
20211229,688618.SH,54348842.0,296660.0,2338717.0,7000.0,1126300.0,2237.0,0.0,54645502.0
20211228,688618.SH,53136425.0,391925.91,1172685.0,9237.0,501433.0,0.0,2237.0,53528350.91
20211227,688618.SH,52465173.0,295960.0,6588956.0,7000.0,3467459.0,0.0,0.0,52761133.0
20211224,688618.SH,49343676.0,302330.0,5643958.0,7000.0,957511.0,0.0,0.0,49646006.0
20211223,688618.SH,44657229.0,296870.0,5694121.0,7000.0,319387.0,0.0,0.0,44954099.0
20211222,688618.SH,39282495.0,296660.0,1012747.0,7000.0,1708035.0,0.0,0.0,39579155.0
20211221,688618.SH,39977783.0,295120.0,245452.0,7000.0,253330.0,0.0,0.0,40272903.0
20211220,688618.SH,41331071.0,296030.0,444990.0,7000.0,553685.0,0.0,0.0,41627101.0
20211217,688618.SH,41439766.0,301770.0,1048116.0,7000.0,402179.0,0.0,0.0,41741536.0
20211216,688618.SH,40793829.0,301910.0,252169.0,7000.0,1895219.0,0.0,0.0,41095739.0
20211215,688618.SH,42436879.0,303660.0,1052904.0,7000.0,497172.0,0.0,0.0,42740539.0
20211214,688618.SH,41881147.0,305340.0,1238563.0,7000.0,229695.0,3767.0,0.0,42186487.0
20211213,688618.SH,40851242.0,461365.95,2787916.0,10767.0,404661.0,0.0,0.0,41312607.95
20211210,688618.SH,38467987.0,466211.1,824103.0,10767.0,616594.0,105500.0,0.0,38934198.1
20211209,688618.SH,38260478.0,5023897.07,1538978.0,116267.0,130536.0,3089.0,0.0,43284375.07
20211208,688618.SH,36852036.0,5175276.16,67156.0,119356.0,975803.0,2800.0,0.0,42027312.16
20211207,688618.SH,37760683.0,5235606.16,205625.0,122156.0,291846.0,14312.0,0.0,42996289.16
20211206,688618.SH,37846904.0,5974569.04,4382956.0,136468.0,795141.0,3233.0,0.0,43821473.04
20211203,688618.SH,34259089.0,6248825.73,1444865.0,139701.0,529492.0,0.0,2871.0,40507914.73
20211202,688618.SH,33343716.0,6106722.9,484605.0,136830.0,487499.0,3371.0,2100.0,39450438.9
20211201,688618.SH,33346610.0,6447935.69,1271517.0,138101.0,827150.0,0.0,8489.0,39794545.69
20211130,688618.SH,32902243.0,5893457.64,2299528.0,129612.0,627164.0,8100.0,0.0,38795700.64
20211129,688618.SH,31229879.0,6216319.68,756420.0,137712.0,1420777.0,5751.0,0.0,37446198.68
20211126,688618.SH,31894236.0,6398449.8,1427152.0,143463.0,2750511.0,15458.0,7200.0,38292685.8
20211125,688618.SH,33217595.0,7047440.45,2765619.0,151721.0,2088329.0,4400.0,2900.0,40265035.45
