trade_date,ts_code,rzye,rqye,rzmre,rqyl,rzche,rqchl,rqmcl,rzrqye
20251231,920249.BJ,32189092.0,0.0,1268623.0,0.0,-3157235.0,0.0,0.0,32189092.0
20251230,920249.BJ,32202449.0,0.0,753883.0,0.0,1691294.0,0.0,0.0,32202449.0
20251229,920249.BJ,32420933.0,0.0,1168654.0,0.0,-4297095.0,0.0,0.0,32420933.0
20251226,920249.BJ,32208556.0,0.0,2072285.0,0.0,-2460283.0,0.0,0.0,32208556.0
20251225,920249.BJ,31533057.0,0.0,1201877.0,0.0,-3164265.0,0.0,0.0,31533057.0
20251224,920249.BJ,35246056.0,0.0,958606.0,0.0,-6155932.0,0.0,0.0,35246056.0
20251223,920249.BJ,35838261.0,0.0,3070303.0,0.0,-3783476.0,0.0,0.0,35838261.0
20251222,920249.BJ,33488951.0,0.0,1972780.0,0.0,-1702811.0,0.0,0.0,33488951.0
20251219,920249.BJ,33227685.0,0.0,1760669.0,0.0,-2836980.0,0.0,0.0,33227685.0
20251218,920249.BJ,33171778.0,0.0,3105640.0,0.0,-1367800.0,0.0,0.0,33171778.0
20251217,920249.BJ,33507313.0,0.0,2680030.0,0.0,-2016879.0,0.0,0.0,33507313.0
20251216,920249.BJ,33977489.0,0.0,3074108.0,0.0,-3615236.0,0.0,0.0,33977489.0
20251215,920249.BJ,33048778.0,0.0,1307578.0,0.0,-3983717.0,0.0,0.0,33048778.0
20251212,920249.BJ,33232542.0,0.0,2928722.0,0.0,-1461968.0,0.0,0.0,33232542.0
20251211,920249.BJ,33626188.0,0.0,5735736.0,0.0,713552.0,0.0,0.0,33626188.0
20251210,920249.BJ,32312145.0,0.0,1601455.0,0.0,-1735949.0,0.0,0.0,32312145.0
20251209,920249.BJ,33271199.0,0.0,2993493.0,0.0,-2264557.0,0.0,0.0,33271199.0
20251208,920249.BJ,31741830.0,0.0,1104146.0,0.0,-2110271.0,0.0,0.0,31741830.0
20251205,920249.BJ,32047792.0,0.0,2228383.0,0.0,-2398824.0,0.0,0.0,32047792.0
20251204,920249.BJ,30523306.0,0.0,1236424.0,0.0,-2033568.0,0.0,0.0,30523306.0
20251203,920249.BJ,30058206.0,0.0,723024.0,0.0,-1905485.0,0.0,0.0,30058206.0
20251202,920249.BJ,29921251.0,0.0,2537587.0,0.0,348238.0,0.0,0.0,29921251.0
20251201,920249.BJ,30941577.0,0.0,4506831.0,0.0,1674994.0,0.0,0.0,30941577.0
20251128,920249.BJ,30209545.0,0.0,1122898.0,0.0,-2696202.0,0.0,0.0,30209545.0
20251127,920249.BJ,31269698.0,0.0,2634604.0,0.0,-1885975.0,0.0,0.0,31269698.0
20251126,920249.BJ,30619112.0,0.0,1135895.0,0.0,-1793001.0,0.0,0.0,30619112.0
20251125,920249.BJ,31229783.0,0.0,666481.0,0.0,-3984039.0,0.0,0.0,31229783.0
20251124,920249.BJ,31739172.0,0.0,266410.0,0.0,-2808155.0,0.0,0.0,31739172.0
20251121,920249.BJ,32548364.0,0.0,833224.0,0.0,-2552118.0,0.0,0.0,32548364.0
20251120,920249.BJ,36389710.0,0.0,849431.0,0.0,-4811337.0,0.0,0.0,36389710.0
20251119,920249.BJ,36448129.0,0.0,2589079.0,0.0,-3847770.0,0.0,0.0,36448129.0
20251118,920249.BJ,36273860.0,0.0,2037155.0,0.0,-3057350.0,0.0,0.0,36273860.0
20251117,920249.BJ,34975402.0,0.0,1450441.0,0.0,-2320456.0,0.0,0.0,34975402.0
20251114,920249.BJ,34742673.0,0.0,4131794.0,0.0,1262432.0,0.0,0.0,34742673.0
20251113,920249.BJ,33475426.0,0.0,3123063.0,0.0,3749161.0,0.0,0.0,33475426.0
20251112,920249.BJ,32663397.0,0.0,3157687.0,0.0,1775069.0,0.0,0.0,32663397.0
20251111,920249.BJ,31671776.0,0.0,2408713.0,0.0,6196647.0,0.0,0.0,31671776.0
20251110,920249.BJ,31039580.0,0.0,590096.0,0.0,3311644.0,0.0,0.0,31039580.0
20251107,920249.BJ,31483112.0,0.0,1660549.0,0.0,5266569.0,0.0,0.0,31483112.0
20251106,920249.BJ,31154405.0,0.0,1957397.0,0.0,916177.0,0.0,0.0,31154405.0
20251105,920249.BJ,31068015.0,0.0,1746768.0,0.0,1810686.0,0.0,0.0,31068015.0
20251104,920249.BJ,30685682.0,0.0,2069817.0,0.0,1622379.0,0.0,0.0,30685682.0
20251103,920249.BJ,30852540.0,0.0,2752181.0,0.0,3379464.0,0.0,0.0,30852540.0
20251031,920249.BJ,31502421.0,0.0,6559905.0,0.0,7398348.0,0.0,0.0,31502421.0
20251030,920249.BJ,33613374.0,0.0,14923181.0,0.0,13153553.0,0.0,0.0,33613374.0
20251029,920249.BJ,31224511.0,0.0,3381128.0,0.0,4690944.0,0.0,0.0,31224511.0
20251028,920249.BJ,30579680.0,0.0,2840881.0,0.0,3550385.0,0.0,0.0,30579680.0
20251027,920249.BJ,29972329.0,0.0,3043929.0,0.0,4580908.0,0.0,0.0,29972329.0
20251024,920249.BJ,29459533.0,0.0,2452383.0,0.0,3056050.0,0.0,0.0,29459533.0
20251023,920249.BJ,30746842.0,0.0,2029812.0,0.0,1012051.0,0.0,0.0,30746842.0
20251022,920249.BJ,30643561.0,0.0,835646.0,0.0,-382080.0,0.0,0.0,30643561.0
20251021,920249.BJ,34628810.0,0.0,4715632.0,0.0,2028493.0,0.0,0.0,34628810.0
20251020,920249.BJ,32200224.0,0.0,242392.0,0.0,-1180269.0,0.0,0.0,32200224.0
20251017,920249.BJ,32401852.0,0.0,1201990.0,0.0,-139477.0,0.0,0.0,32401852.0
20251016,920249.BJ,32933755.0,0.0,3365779.0,0.0,2505429.0,0.0,0.0,32933755.0
20251015,920249.BJ,31485001.0,0.0,688114.0,0.0,3306723.0,0.0,0.0,31485001.0
20251014,920249.BJ,32791196.0,0.0,1974777.0,0.0,2444411.0,0.0,0.0,32791196.0
20251013,920249.BJ,33382846.0,0.0,1448904.0,0.0,1410515.0,0.0,0.0,33382846.0
20251010,920249.BJ,33010366.0,0.0,1946477.0,0.0,1427689.0,0.0,0.0,33010366.0
20251009,920249.BJ,32980615.0,0.0,3749014.0,0.0,3347826.0,0.0,0.0,32980615.0
20250930,920249.BJ,31774248.0,0.0,2417311.0,0.0,8795028.0,0.0,0.0,31774248.0
