ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
300552.SZ,20161230,3072,1761.5,1844,1057.55,3072,1761.11,3252,1864.95,598,343.68,1647,943.78,0,0.0,0,0.0,-1110,-635.52
300552.SZ,20161229,2265,1320.61,2034,1188.67,2639,1541.2,2618,1528.28,694,404.56,945,549.43,0,0.0,0,0.0,-1184,-687.57
300552.SZ,20161228,2466,1448.93,1752,1030.48,2822,1658.38,2323,1365.0,401,235.51,1813,1065.0,200,117.66,0,0.0,-573,-334.61
300552.SZ,20161227,2233,1325.01,1815,1077.24,2888,1713.8,2573,1527.43,831,493.1,1259,746.8,0,0.0,306,180.45,-884,-523.94
300552.SZ,20161226,3953,2294.82,5137,2999.0,5888,3430.32,5363,3121.27,2703,1583.93,2150,1248.49,105,59.68,0,0.0,776,450.44
300552.SZ,20161223,7392,4447.77,3818,2291.54,6450,3882.57,7424,4471.6,1462,881.99,3834,2311.8,54,31.81,282,169.22,-4633,-2803.79
300552.SZ,20161222,2897,1787.56,2796,1729.46,4386,2709.97,3774,2330.68,1933,1196.56,2290,1413.38,0,0.0,356,220.58,-329,-198.02
300552.SZ,20161221,4017,2472.25,4504,2784.55,5054,3116.31,5357,3306.19,3846,2381.02,3055,1878.83,0,0.0,0,0.0,356,231.58
300552.SZ,20161220,2807,1730.17,2360,1456.4,3136,1933.94,3385,2086.57,1602,987.41,1860,1145.61,289,178.21,229,141.15,-1422,-874.37
300552.SZ,20161219,3305,2035.51,2734,1685.42,4235,2610.56,4432,2731.54,1465,903.43,1859,1144.74,282,173.28,262,161.08,-1635,-1002.02
300552.SZ,20161216,3893,2414.11,3381,2101.02,5482,3404.0,4308,2674.85,1696,1052.32,3212,1990.52,1,0.62,170,104.67,-1512,-932.57
300552.SZ,20161215,4755,2947.11,7116,4417.14,7558,4690.24,6460,4007.71,3821,2374.49,2960,1837.18,563,349.69,160,99.5,4182,2603.16
300552.SZ,20161214,5555,3396.92,5192,3180.05,7141,4375.57,6876,4206.63,2527,1543.35,3123,1908.72,141,85.58,173,106.02,1702,1056.98
300552.SZ,20161213,5770,3534.05,5513,3382.83,6253,3830.79,7163,4385.86,4049,2475.03,2860,1745.56,203,125.85,739,451.48,-23,-11.14
300552.SZ,20161212,12495,8029.09,6960,4483.25,10629,6822.79,9633,6186.81,4890,3140.82,10260,6607.19,842,543.41,2003,1258.86,-7304,-4696.36
300552.SZ,20161209,8720,6013.26,4348,2996.61,6986,4816.87,8083,5572.66,4332,2986.73,7032,4849.56,0,0.0,575,398.02,-5149,-3554.34
300552.SZ,20161208,5818,4154.54,6095,4366.4,6916,4946.5,7288,5216.66,5042,3611.71,4878,3483.51,1182,848.84,696,495.03,-1151,-812.27
300552.SZ,20161207,6607,4628.12,5309,3730.4,6758,4739.89,7089,4969.52,3997,2805.49,4801,3360.14,38,26.34,201,139.77,-1774,-1235.02
300552.SZ,20161206,5947,4264.71,7198,5171.25,6933,4975.29,6952,4988.58,6156,4426.05,4523,3243.56,247,176.01,610,438.68,226,169.14
300552.SZ,20161205,6101,4284.89,4007,2820.28,5884,4134.21,5122,3601.67,3448,2422.04,5059,3552.25,329,229.62,1574,1096.55,530,375.15
300552.SZ,20161202,11058,8044.05,5737,4170.32,8239,6006.11,9623,7010.59,6610,4814.09,9650,7014.11,1821,1318.06,2718,1987.3,-7325,-5326.56
300552.SZ,20161201,5496,4087.1,6349,4729.15,6512,4847.13,6416,4771.68,5698,4243.54,5063,3767.34,752,555.75,630,465.35,456,355.31
300552.SZ,20161130,5075,3741.35,5544,4094.37,6277,4630.41,5735,4232.89,4938,3651.79,5217,3848.14,473,349.5,267,197.63,-254,-183.79
300552.SZ,20161129,13785,10319.99,7015,5257.91,9830,7366.07,10022,7510.74,4513,3390.93,10028,7510.03,150,111.24,1213,909.56,-6331,-4738.4
300552.SZ,20161128,14133,10903.18,6384,4931.01,11484,8868.37,11290,8729.68,7070,5471.69,12536,9681.08,658,507.51,3135,2408.98,-8879,-6833.24
300552.SZ,20161125,11384,8861.29,12036,9416.54,13254,10360.8,12407,9692.47,12435,9714.36,10988,8566.95,1122,878.61,2763,2139.09,-104,-28.73
300552.SZ,20161124,9949,7819.62,11443,9017.99,13201,10397.35,12137,9556.98,13245,10444.76,13000,10233.14,1169,918.56,985,772.18,224,197.7
300552.SZ,20161123,16023,12665.48,9805,7759.05,16050,12705.88,13837,10949.35,13184,10445.77,17740,14036.38,1706,1348.81,5580,4421.16,-2983,-2338.56
300552.SZ,20161122,15249,12105.58,25120,19956.45,22783,18145.65,26455,21118.67,24291,19367.07,19422,15444.07,11326,9032.11,2653,2131.22,5517,4374.18
300552.SZ,20161121,14485,10910.82,12450,9383.05,12081,9101.87,13528,10194.22,8775,6616.82,9129,6874.09,1442,1081.4,1676,1259.55,-4392,-3297.25
300552.SZ,20161118,14296,11014.0,11776,9084.77,14490,11178.87,13940,10755.21,9594,7406.27,11496,8863.35,957,737.75,2125,1633.55,-4995,-3841.26
300552.SZ,20161117,19428,15105.09,25761,20105.79,21558,16831.22,19420,15138.67,17872,13959.28,14573,11356.58,3015,2358.5,2120,1653.05,-1255,-941.04
300552.SZ,20161116,37337,29445.88,34015,26762.55,30125,23815.95,29643,23443.9,18903,14901.45,20830,16461.39,3183,2511.36,5061,4006.79,-14933,-11823.39
300552.SZ,20161115,37724,31775.3,34364,29043.25,66867,56350.66,115172,96982.97,40753,34340.12,1657,1382.85,9584,8078.02,3735,3135.03,3296,2754.73
300552.SZ,20161114,0,0.0,685,555.22,0,0.0,1365,1105.87,35,28.36,0,0.0,2015,1632.73,0,0.0,-2050,-1661.09
300552.SZ,20161111,0,0.0,1132,833.7,0,0.0,27,19.87,80,58.93,0,0.0,1079,794.64,0,0.0,-1159,-853.57
300552.SZ,20161110,0,0.0,167,111.99,0,0.0,0,0.0,0,0.0,0,0.0,167,111.99,0,0.0,-167,-111.99
300552.SZ,20161109,0,0.0,399,242.69,0,0.0,36,21.93,0,0.0,0,0.0,435,264.63,0,0.0,-435,-264.63
300552.SZ,20161108,0,0.0,235,129.94,0,0.0,0,0.0,0,0.0,0,0.0,235,129.94,0,0.0,-235,-129.94
300552.SZ,20161107,0,0.0,269,135.25,0,0.0,48,24.39,145,72.95,0,0.0,172,86.68,0,0.0,-317,-159.63
300552.SZ,20161104,0,0.0,140,64.04,0,0.0,13,6.17,153,70.21,0,0.0,0,0.0,0,0.0,-153,-70.21
300552.SZ,20161103,0,0.0,150,62.21,0,0.0,12,5.15,0,0.0,0,0.0,162,67.36,0,0.0,-162,-67.36
300552.SZ,20161102,0,0.0,66,24.95,0,0.0,13,5.1,79,30.05,0,0.0,0,0.0,0,0.0,-79,-30.05
300552.SZ,20161101,0,0.0,51,17.52,0,0.0,0,0.0,51,17.52,0,0.0,0,0.0,0,0.0,-51,-17.52
300552.SZ,20161031,0,0.0,30,9.37,0,0.0,0,0.0,30,9.37,0,0.0,0,0.0,0,0.0,-30,-9.37
300552.SZ,20161028,0,0.0,19,5.37,19,5.37,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-19,-5.37
300552.SZ,20161027,0,0.0,18,4.65,18,4.65,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-18,-4.65
300552.SZ,20161026,0,0.0,13,3.05,0,0.0,0,0.0,13,3.05,0,0.0,0,0.0,0,0.0,-13,-3.05
300552.SZ,20161025,0,0.0,8,1.71,0,0.0,0,0.0,8,1.71,0,0.0,0,0.0,0,0.0,-8,-1.71
300552.SZ,20161024,0,0.0,32,6.22,0,0.0,0,0.0,32,6.22,0,0.0,0,0.0,0,0.0,-32,-6.22
300552.SZ,20161021,10,1.61,96,16.79,1,0.15,0,0.0,85,15.02,0,0.0,0,0.0,0,0.0,-96,-16.79
300552.SZ,20171229,1468,376.91,1603,412.19,2197,564.3,2177,559.06,616,158.66,501,128.61,0,0.0,0,0.0,-183,-46.63
300552.SZ,20171228,2268,578.45,1624,415.27,2379,607.6,2704,689.89,331,84.77,655,166.94,5,1.28,0,0.0,55,14.75
300552.SZ,20171227,2262,578.29,2318,594.07,2337,597.97,2090,534.19,342,87.87,533,135.87,0,0.0,0,0.0,-731,-186.13
300552.SZ,20171226,1598,403.22,1774,448.15,2350,593.61,2065,521.07,340,85.86,449,113.46,0,0.0,0,0.0,875,221.69
300552.SZ,20171225,2694,676.55,1422,358.31,2204,554.12,1942,488.64,139,34.6,1233,308.18,0,0.0,440,110.13,-1041,-262.04
300552.SZ,20171222,1325,341.67,1039,268.13,947,244.21,1107,285.21,350,89.96,476,122.51,0,0.0,0,0.0,-244,-62.4
300552.SZ,20171221,1622,414.5,1790,459.6,2045,523.66,1709,436.13,257,65.59,425,108.02,0,0.0,0,0.0,-442,-111.23
300552.SZ,20171220,2667,696.0,1862,487.12,1698,442.84,2438,634.81,120,30.98,185,47.89,0,0.0,0,0.0,-1583,-412.68
300552.SZ,20171219,1417,375.21,1530,405.17,1414,374.51,1302,344.72,67,17.68,66,17.51,0,0.0,0,0.0,286,76.18
300552.SZ,20171218,1917,504.33,1248,328.36,1028,270.4,1745,458.82,248,65.15,200,52.7,0,0.0,0,0.0,-1464,-385.17
300552.SZ,20171215,2006,534.37,2058,548.86,1641,437.4,1583,421.63,218,58.2,223,59.48,0,0.0,0,0.0,-7,-1.02
300552.SZ,20171214,2378,630.19,1742,463.05,2049,543.52,1657,439.65,0,0.0,907,238.96,0,0.0,121,32.06,-222,-59.11
300552.SZ,20171213,2274,601.02,1961,519.88,2125,561.85,1781,471.47,827,219.13,545,143.63,0,0.0,938,247.03,724,190.26
300552.SZ,20171212,2163,570.57,1550,408.86,1899,500.42,2181,574.62,170,44.92,501,132.43,0,0.0,0,0.0,-943,-248.09
300552.SZ,20171211,2942,789.95,2776,744.74,2870,769.73,3130,840.97,1174,316.78,1081,290.75,0,0.0,0,0.0,-700,-187.65
300552.SZ,20171208,1997,518.88,2095,545.32,2416,628.55,1874,486.93,0,0.0,444,115.18,0,0.0,0,0.0,1114,291.29
300552.SZ,20171207,1736,446.37,1821,468.76,1738,447.23,1622,417.06,278,71.56,309,79.33,0,0.0,0,0.0,-622,-159.46
300552.SZ,20171206,1823,461.3,1995,505.93,2882,730.68,2346,594.23,663,168.55,1027,260.38,0,0.0,0,0.0,790,202.37
300552.SZ,20171205,4049,1045.47,2193,567.98,3149,812.17,3442,892.04,254,66.42,1410,362.38,0,0.0,407,101.66,-2775,-711.52
300552.SZ,20171204,1415,385.12,1367,372.29,1529,416.11,1745,474.42,849,229.97,681,184.5,0,0.0,0,0.0,-1025,-279.62
