ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
688080.SH,20201231,675,356.15,1265,672.64,979,519.86,1023,545.95,898,482.84,264,140.26,0,0.0,0,0.0,633,343.26
688080.SH,20201230,719,369.59,728,375.39,691,355.97,698,359.23,287,147.97,270,138.9,0,0.0,0,0.0,-195,-99.58
688080.SH,20201229,892,451.99,928,471.28,985,500.11,1037,527.83,407,207.76,100,51.03,0,0.0,219,109.71,-62,-34.82
688080.SH,20201228,865,426.9,751,370.96,550,270.64,590,291.29,247,120.96,320,156.27,0,0.0,0,0.0,-710,-348.9
688080.SH,20201225,562,285.5,482,245.61,634,322.94,692,351.97,277,140.82,56,28.6,0,0.0,243,123.08,251,127.63
688080.SH,20201224,1116,575.01,832,431.24,1269,653.6,1366,703.04,556,284.52,743,378.84,0,0.0,0,0.0,-249,-131.23
688080.SH,20201223,725,384.8,701,372.43,743,394.56,630,334.39,294,155.8,441,233.64,302,160.16,292,154.87,135,71.16
688080.SH,20201222,990,535.26,599,325.31,1001,541.8,1177,636.06,140,76.2,356,191.88,0,0.0,0,0.0,-581,-314.06
688080.SH,20201221,504,279.85,497,276.31,565,313.74,487,270.75,226,125.29,310,171.81,0,0.0,0,0.0,-154,-85.63
688080.SH,20201218,522,290.06,466,258.99,586,325.17,632,350.78,301,167.04,312,172.49,0,0.0,0,0.0,-487,-269.53
688080.SH,20201217,1190,657.3,916,508.28,820,453.33,913,504.65,214,120.04,394,217.73,0,0.0,0,0.0,-141,-76.14
688080.SH,20201216,585,335.44,504,289.5,571,327.76,626,359.28,369,210.36,394,224.78,0,0.0,0,0.0,-582,-333.38
688080.SH,20201215,377,221.04,553,324.16,505,296.72,418,245.77,356,209.07,267,156.89,0,0.0,0,0.0,213,125.36
688080.SH,20201214,562,323.16,707,408.37,517,299.53,379,218.49,39,22.41,32,18.24,0,0.0,0,0.0,-111,-61.07
688080.SH,20201211,1504,872.61,994,579.04,1048,608.78,1103,638.56,578,334.3,1033,598.09,0,0.0,0,0.0,-541,-313.55
688080.SH,20201210,758,459.57,421,256.12,582,353.11,506,307.47,92,55.85,248,150.64,182,109.34,439,263.63,-440,-265.06
688080.SH,20201209,896,552.95,765,474.25,967,596.81,956,588.2,257,159.19,399,246.5,0,0.0,0,0.0,-631,-390.59
688080.SH,20201208,743,470.2,597,379.22,683,432.57,654,413.88,539,340.18,713,449.85,0,0.0,0,0.0,-432,-273.21
688080.SH,20201207,725,470.64,476,309.22,680,440.93,683,442.35,556,361.39,634,410.71,0,0.0,169,110.67,-346,-221.9
688080.SH,20201204,402,263.02,381,249.37,399,261.03,528,345.04,780,509.99,482,315.5,0,0.0,191,124.12,-509,-331.08
688080.SH,20201203,291,190.39,256,167.89,498,325.61,376,245.88,52,34.16,209,136.39,0,0.0,0,0.0,-330,-214.74
688080.SH,20201202,409,267.08,337,220.15,396,258.36,414,269.62,214,139.96,269,175.63,0,0.0,0,0.0,-97,-62.73
688080.SH,20201201,422,274.26,441,287.3,508,330.74,538,350.04,496,322.63,446,290.29,0,0.0,0,0.0,-19,-12.11
688080.SH,20201130,524,339.05,386,250.21,568,368.48,513,331.9,171,110.99,364,236.41,0,0.0,0,0.0,216,140.38
688080.SH,20201127,839,545.34,526,342.51,601,390.57,671,435.86,260,168.66,503,326.2,0,0.0,0,0.0,-727,-472.16
688080.SH,20201126,886,590.01,428,285.27,711,472.56,1013,673.71,81,53.74,237,157.32,0,0.0,0,0.0,-476,-316.77
688080.SH,20201125,506,341.56,371,250.52,621,419.04,599,404.15,89,60.08,246,166.01,0,0.0,0,0.0,-482,-324.93
688080.SH,20201124,343,231.68,196,132.54,579,391.58,704,475.81,268,181.71,291,196.62,0,0.0,0,0.0,-408,-276.35
688080.SH,20201123,782,529.38,426,289.45,899,609.6,772,523.38,413,280.37,895,606.51,0,0.0,0,0.0,-54,-35.91
688080.SH,20201120,415,284.91,324,222.78,469,322.25,567,389.17,180,123.72,174,118.94,0,0.0,0,0.0,-422,-289.53
688080.SH,20201119,454,313.48,364,251.6,421,290.75,579,399.44,507,350.15,439,303.35,0,0.0,0,0.0,-155,-107.22
688080.SH,20201118,496,341.14,397,274.56,610,420.68,683,470.6,97,67.34,122,84.0,0,0.0,0,0.0,-167,-113.8
688080.SH,20201117,629,427.28,596,405.37,644,437.21,707,479.61,196,133.83,166,113.34,0,0.0,0,0.0,-297,-200.47
