ts_code,end_date,pledge_count,unrest_pledge,rest_pledge,total_share,pledge_ratio
688589.SH,20260612,2,286.0,0.0,14532.85,1.97
688589.SH,20260605,2,286.0,0.0,14532.85,1.97
688589.SH,20260529,3,406.0,0.0,14532.85,2.79
688589.SH,20260522,3,406.0,0.0,14532.85,2.79
688589.SH,20260515,3,406.0,0.0,14532.85,2.79
688589.SH,20260508,3,414.0,0.0,14532.85,2.85
688589.SH,20260430,3,414.0,0.0,14532.85,2.85
688589.SH,20260424,3,414.0,0.0,14532.85,2.85
688589.SH,20260417,4,477.67,0.0,14532.85,3.29
688589.SH,20260410,4,477.67,0.0,14532.85,3.29
688589.SH,20260403,4,477.67,0.0,14532.85,3.29
688589.SH,20260327,4,477.67,0.0,14532.85,3.29
688589.SH,20260320,3,327.67,0.0,14532.85,2.25
688589.SH,20260313,3,327.67,0.0,14532.85,2.25
688589.SH,20260306,3,327.67,0.0,14532.85,2.25
688589.SH,20260227,3,327.67,0.0,14532.85,2.25
688589.SH,20260213,3,327.67,0.0,14532.85,2.25
688589.SH,20260206,3,327.67,0.0,14532.85,2.25
688589.SH,20260130,3,408.0,0.0,14532.85,2.81
688589.SH,20260123,4,528.0,0.0,14532.85,3.63
688589.SH,20260116,3,408.0,0.0,14532.84,2.81
688589.SH,20260109,3,552.0,0.0,14532.84,3.8
688589.SH,20251231,3,552.0,0.0,14532.84,3.8
688589.SH,20251226,3,552.0,0.0,14532.84,3.8
688589.SH,20251219,3,552.0,0.0,14532.84,3.8
688589.SH,20251212,3,552.0,0.0,14532.84,3.8
688589.SH,20251205,3,552.0,0.0,14532.84,3.8
688589.SH,20251129,3,552.0,0.0,14532.84,3.8
688589.SH,20251128,3,552.0,0.0,14532.84,3.8
688589.SH,20251121,3,552.0,0.0,14532.84,3.8
688589.SH,20251114,3,552.0,0.0,14532.84,3.8
688589.SH,20251107,3,552.0,0.0,14532.84,3.8
688589.SH,20251031,3,552.0,0.0,14532.83,3.8
688589.SH,20251024,3,552.0,0.0,14532.83,3.8
688589.SH,20251017,3,552.0,0.0,14532.83,3.8
688589.SH,20251010,3,552.0,0.0,14532.83,3.8
688589.SH,20250930,3,552.0,0.0,14532.83,3.8
688589.SH,20250926,3,552.0,0.0,14532.83,3.8
688589.SH,20250919,3,552.0,0.0,14532.83,3.8
688589.SH,20250912,3,552.0,0.0,14532.83,3.8
688589.SH,20250905,3,552.0,0.0,14532.83,3.8
688589.SH,20250829,3,552.0,0.0,14532.83,3.8
688589.SH,20250822,3,552.0,0.0,14532.83,3.8
688589.SH,20250815,3,552.0,0.0,14532.83,3.8
688589.SH,20250808,3,552.0,0.0,14532.83,3.8
688589.SH,20250801,3,552.0,0.0,14532.83,3.8
688589.SH,20250725,3,552.0,0.0,14532.83,3.8
688589.SH,20250718,3,552.0,0.0,14532.83,3.8
688589.SH,20250711,3,552.0,0.0,14532.83,3.8
688589.SH,20250704,3,552.0,0.0,14532.83,3.8
688589.SH,20250627,3,552.0,0.0,14532.83,3.8
688589.SH,20250620,3,552.0,0.0,14532.83,3.8
688589.SH,20250613,3,552.0,0.0,14532.83,3.8
688589.SH,20250606,3,576.0,0.0,14532.83,3.96
688589.SH,20250530,3,480.0,0.0,12117.74,3.96
688589.SH,20250523,3,480.0,0.0,12117.74,3.96
688589.SH,20250516,3,480.0,0.0,12117.74,3.96
688589.SH,20250509,3,480.0,0.0,12117.74,3.96
688589.SH,20250430,4,486.0,0.0,12117.74,4.01
688589.SH,20250425,4,486.0,0.0,12117.74,4.01
688589.SH,20250418,4,486.0,0.0,12117.74,4.01
688589.SH,20250411,4,486.0,0.0,12117.74,4.01
688589.SH,20250403,4,486.0,0.0,12117.74,4.01
688589.SH,20250328,4,486.0,0.0,12117.71,4.01
688589.SH,20250321,4,486.0,0.0,12117.71,4.01
688589.SH,20250314,4,486.0,0.0,12117.7,4.01
688589.SH,20250307,4,486.0,0.0,12117.7,4.01
688589.SH,20250228,4,486.0,0.0,12117.7,4.01
688589.SH,20250221,4,486.0,0.0,12117.7,4.01
688589.SH,20250214,4,486.0,0.0,12117.7,4.01
688589.SH,20250207,5,624.0,0.0,12117.7,5.15
688589.SH,20250127,5,624.0,0.0,12117.69,5.15
688589.SH,20250124,5,624.0,0.0,12117.69,5.15
688589.SH,20250117,4,504.0,0.0,12117.69,4.16
688589.SH,20250110,4,504.0,0.0,12117.69,4.16
688589.SH,20250103,4,504.0,0.0,12117.69,4.16
688589.SH,20241227,4,504.0,0.0,12117.69,4.16
688589.SH,20241220,4,504.0,0.0,12117.69,4.16
688589.SH,20241213,4,504.0,0.0,12117.69,4.16
688589.SH,20241206,4,504.0,0.0,12117.69,4.16
688589.SH,20241129,4,504.0,0.0,12117.69,4.16
688589.SH,20241122,4,504.0,0.0,12117.69,4.16
688589.SH,20241115,4,504.0,0.0,12065.75,4.18
688589.SH,20241108,4,504.0,0.0,12065.75,4.18
688589.SH,20241101,4,504.0,0.0,12065.75,4.18
688589.SH,20241025,4,504.0,0.0,12065.75,4.18
688589.SH,20241018,4,504.0,0.0,12065.75,4.18
688589.SH,20241011,4,504.0,0.0,12065.75,4.18
688589.SH,20240930,4,504.0,0.0,12065.74,4.18
688589.SH,20240927,4,504.0,0.0,12065.74,4.18
688589.SH,20240920,4,504.0,0.0,12065.74,4.18
688589.SH,20240913,4,504.0,0.0,12065.74,4.18
688589.SH,20240906,4,504.0,0.0,12065.74,4.18
688589.SH,20240830,4,504.0,0.0,12065.74,4.18
688589.SH,20240823,4,504.0,0.0,12065.74,4.18
688589.SH,20240816,4,504.0,0.0,12065.74,4.18
688589.SH,20240809,4,504.0,0.0,12065.74,4.18
688589.SH,20240802,4,504.0,0.0,12065.74,4.18
688589.SH,20240726,4,504.0,0.0,12065.74,4.18
688589.SH,20240719,4,504.0,0.0,12065.74,4.18
688589.SH,20240712,4,504.0,0.0,12065.74,4.18
688589.SH,20240705,4,504.0,0.0,12065.74,4.18
688589.SH,20240628,4,504.0,0.0,12065.74,4.18
688589.SH,20240621,4,504.0,0.0,12065.74,4.18
688589.SH,20240614,4,504.0,0.0,12065.74,4.18
688589.SH,20240607,4,504.0,0.0,12065.74,4.18
688589.SH,20240531,4,504.0,0.0,12065.74,4.18
688589.SH,20240524,6,624.0,0.0,12065.74,5.17
688589.SH,20240517,8,576.0,0.0,10057.11,5.73
688589.SH,20240510,8,576.0,0.0,10057.11,5.73
688589.SH,20240430,6,511.0,0.0,10057.11,5.08
688589.SH,20240426,6,511.0,0.0,10057.11,5.08
688589.SH,20240419,5,496.0,0.0,10057.11,4.93
688589.SH,20240412,5,496.0,0.0,10057.11,4.93
688589.SH,20240403,5,496.0,0.0,10057.11,4.93
688589.SH,20240329,5,496.0,0.0,10057.11,4.93
688589.SH,20240322,5,496.0,0.0,10057.11,4.93
688589.SH,20240315,5,496.0,0.0,10057.11,4.93
688589.SH,20240308,5,496.0,0.0,10057.11,4.93
688589.SH,20240301,5,496.0,0.0,10057.11,4.93
688589.SH,20240223,5,496.0,0.0,10057.11,4.93
688589.SH,20240208,5,496.0,0.0,10057.11,4.93
688589.SH,20240202,5,496.0,0.0,10057.11,4.93
688589.SH,20240126,5,496.0,0.0,10057.11,4.93
688589.SH,20240119,5,496.0,0.0,10057.11,4.93
688589.SH,20240112,5,496.0,0.0,10057.11,4.93
688589.SH,20240105,5,496.0,0.0,10057.09,4.93
688589.SH,20231229,5,496.0,0.0,10057.08,4.93
688589.SH,20231222,5,496.0,0.0,10057.08,4.93
688589.SH,20231215,5,496.0,0.0,10057.08,4.93
688589.SH,20231208,6,596.0,0.0,10057.08,5.93
688589.SH,20231201,6,596.0,0.0,10057.08,5.93
688589.SH,20231124,6,596.0,0.0,10057.08,5.93
688589.SH,20231117,6,596.0,0.0,10057.08,5.93
688589.SH,20231110,6,596.0,0.0,10057.08,5.93
688589.SH,20231103,6,596.0,0.0,10057.08,5.93
688589.SH,20231027,6,596.0,0.0,10057.08,5.93
688589.SH,20231020,6,596.0,0.0,10057.08,5.93
688589.SH,20231013,6,596.0,0.0,10057.08,5.93
688589.SH,20230928,6,596.0,0.0,10057.08,5.93
688589.SH,20230922,6,596.0,0.0,10057.08,5.93
688589.SH,20230915,7,696.0,0.0,10019.48,6.95
688589.SH,20230908,7,696.0,0.0,10019.48,6.95
688589.SH,20230901,7,696.0,0.0,10019.48,6.95
688589.SH,20230825,7,696.0,0.0,10019.48,6.95
688589.SH,20230818,7,696.0,0.0,10019.48,6.95
688589.SH,20230811,7,696.0,0.0,10019.48,6.95
688589.SH,20230804,7,696.0,0.0,10019.48,6.95
688589.SH,20230728,8,824.0,0.0,10019.48,8.22
688589.SH,20230721,8,888.0,0.0,10019.48,8.86
688589.SH,20230714,8,403.0,485.0,10019.48,8.86
688589.SH,20230707,8,403.0,485.0,10019.48,8.86
688589.SH,20230630,8,403.0,485.0,10019.48,8.86
688589.SH,20230621,8,403.0,485.0,10019.48,8.86
688589.SH,20230616,8,403.0,485.0,10019.48,8.86
688589.SH,20230609,8,403.0,485.0,10019.48,8.86
688589.SH,20230602,7,275.0,485.0,10019.48,7.59
688589.SH,20230526,7,275.0,485.0,10019.48,7.59
688589.SH,20230519,7,275.0,485.0,10019.48,7.59
688589.SH,20230512,5,115.0,485.0,10019.48,5.99
688589.SH,20230505,5,115.0,485.0,10019.48,5.99
688589.SH,20230428,5,115.0,485.0,10019.48,5.99
688589.SH,20230421,6,115.0,535.0,10019.48,6.49
688589.SH,20230414,6,115.0,535.0,10019.48,6.49
688589.SH,20230407,6,115.0,535.0,10019.48,6.49
688589.SH,20230331,6,115.0,535.0,10019.48,6.49
688589.SH,20230324,6,115.0,535.0,10019.48,6.49
