ts_code,ann_date,end_date,proc,exp_date,vol,amount,high_limit,low_limit
300310.SZ,20191129,20191127,实施,,1057455.0,0.1949,,
300310.SZ,20191129,20191127,实施,,1057455.0,0.1949,,
300310.SZ,20190516,,股东大会通过,,,1.0,,
300310.SZ,20190516,,股东大会通过,,,1.0,,
300310.SZ,20190425,,预案,,,1.0,,
300310.SZ,20190425,,预案,,,1.0,,
300310.SZ,20181121,20181119,完成,,11262700.0,77698123.64,6.8987,6.8987
300310.SZ,20180914,,股东大会通过,,,1862652.24,6.8987,6.8987
300310.SZ,20180914,,股东大会通过,,,77698123.64,6.8987,6.8987
300310.SZ,20180914,,股东大会通过,,,1862652.24,6.8987,6.8987
300310.SZ,20180829,,预案,,,1862652.24,6.8987,6.8987
300310.SZ,20180829,,预案,,,77698123.64,6.8987,6.8987
300310.SZ,20180829,,预案,,,1862652.24,6.8987,6.8987
300310.SZ,20180601,20180531,完成,,5000.0,34536.17,6.91,6.91
300310.SZ,20180601,20180531,完成,,5000.0,34536.17,6.91,6.91
300310.SZ,20180403,,预案,,,34536.17,6.91,6.91
300310.SZ,20180403,,预案,,,34536.17,6.91,6.91
