ts_code,ann_date,end_date,proc,exp_date,vol,amount,high_limit,low_limit
688080.SH,20250912,20250911,完成,,446030.0,20087561.83,61.0,32.41
688080.SH,20250902,20250831,实施,,446030.0,20087561.83,61.0,32.41
688080.SH,20250802,20250731,实施,,349981.0,14287739.7,50.28,32.41
688080.SH,20250707,,预案,,,40000000.0,64.84,
688080.SH,20250701,20250630,实施,,299981.0,11938168.75,50.28,32.41
688080.SH,20250531,,预案,,,40000000.0,65.04,
688080.SH,20250507,20250430,实施,,198000.0,6958276.73,37.99,32.41
688080.SH,20250102,20241231,实施,,138598.0,4742168.72,35.9,32.41
688080.SH,20241203,20241130,实施,,58598.0,1981651.41,35.2,32.41
688080.SH,20241024,20241023,实施,,30000.0,981794.12,32.9,32.41
688080.SH,20240913,,股东大会通过,20250913,,40000000.0,38.0,
688080.SH,20240823,,预案,,,40000000.0,38.0,
