ts_code,ann_date,end_date,holder_num
301608.SZ,20251223,20251219,8822
301608.SZ,20251215,20251210,8804
301608.SZ,20251203,20251128,8548
301608.SZ,20251124,20251120,8514
301608.SZ,20251112,20251110,8890
301608.SZ,20251105,20251031,8844
301608.SZ,20251021,20251020,7744
301608.SZ,20251013,20251010,7794
301608.SZ,20251024,20250930,7850
301608.SZ,20251013,20250930,7850
301608.SZ,20250924,20250919,8229
301608.SZ,20250917,20250910,8167
301608.SZ,20250904,20250829,7980
301608.SZ,20250826,20250820,8470
301608.SZ,20250813,20250808,9866
301608.SZ,20250805,20250731,9469
301608.SZ,20250724,20250718,8590
301608.SZ,20250714,20250710,8276
301608.SZ,20250828,20250630,8023
301608.SZ,20250702,20250630,8023
301608.SZ,20250624,20250620,7430
301608.SZ,20250612,20250610,7966
301608.SZ,20250604,20250530,8612
301608.SZ,20250526,20250520,8771
301608.SZ,20250515,20250509,8560
301608.SZ,20250512,20250430,9101
301608.SZ,20250429,20250418,9408
301608.SZ,20250414,20250410,9330
301608.SZ,20250423,20250331,9007
301608.SZ,20250403,20250331,9007
301608.SZ,20250325,20250320,8745
301608.SZ,20250317,20250310,7981
301608.SZ,20250305,20250228,10150
301608.SZ,20250226,20250220,10725
301608.SZ,20250305,20250210,11420
301608.SZ,20250226,20250127,14306
301608.SZ,20250226,20250110,14521
301608.SZ,20250423,20241231,15285
301608.SZ,20241225,20241220,15104
301608.SZ,20241122,20241120,14420
301608.SZ,20241114,20241108,14501
301608.SZ,20241105,20241031,13667
301608.SZ,20241024,20241018,14058
301608.SZ,20241015,20241010,15367
301608.SZ,20241028,20240930,16448
301608.SZ,20241015,20240920,17948
301608.SZ,20240919,20240910,17186
301608.SZ,20240902,20240830,18041
301608.SZ,20240822,20240820,17868
301608.SZ,20240814,20240809,19574
301608.SZ,20240731,20240801,22672
301608.SZ,20240829,20240630,9
301608.SZ,20221124,20221124,9
