ts_code,ann_date,end_date,holder_num
603236.SH,20251024,20250930,42375
603236.SH,20250815,20250630,38303
603236.SH,20250429,20250331,43198
603236.SH,20250424,20250331,43198
603236.SH,20250424,20241231,30628
603236.SH,20241022,20240930,32322
603236.SH,20240827,20240630,29723
603236.SH,20240423,20240331,31834
603236.SH,20240423,20231231,30879
603236.SH,20231026,20230930,35468
603236.SH,20230815,20230630,36110
603236.SH,20230425,20230331,20957
603236.SH,20230425,20221231,25153
603236.SH,20221029,20220930,15859
603236.SH,20220824,20220630,14794
603236.SH,20220429,20220331,12210
603236.SH,20220416,20220331,12210
603236.SH,20220416,20211231,14551
603236.SH,20211026,20210930,17392
603236.SH,20210824,20210630,16841
603236.SH,20210429,20210331,14729
603236.SH,20210420,20210331,14729
603236.SH,20210420,20201231,22250
603236.SH,20201030,20200930,21759
603236.SH,20200825,20200630,15526
603236.SH,20200429,20200331,13058
603236.SH,20200415,20200331,13058
603236.SH,20200415,20191231,13590
603236.SH,20191031,20190930,16406
603236.SH,20190715,20190716,25544
603236.SH,20190829,20190630,25544
