ts_code,com_name,com_id,chairman,manager,secretary,reg_capital,setup_date,province,city,introduction,website,email,office,business_scope,employees,main_business,exchange
300638.SZ,深圳市广和通无线股份有限公司,9144030071524640XY,张天瑜,应凌鹏,陈仕江,89926.5844,19991111,广东,深圳市,深圳市广和通无线股份有限公司是一家主要从事提供无线通信模组的中国公司。该公司的主要产品包括数传模组、智能模组及人工智能（AI）模组。该公司通过其模组产品提供的解决方案包括端侧AI解决方案、机器人解决方案及其他解决方案。该公司的模组产品及解决方案涵盖了广泛的应用场景，主要包括汽车电子，智慧家庭，消费电子及智慧零售。该公司主要在中国国内和海外市场开展业务。,www.fibocom.com,zqb@fibocom.com,"深圳市南山区西丽街道西丽社区打石一路深圳国际创新谷六栋A座10-14层,香港湾仔皇后大道东248号大新金融中心40楼",M2M 网关等各类物联网网关、移动通信终端产品的生产及配套软件产品的技术开发和销售；电子产品的技术开发、咨询及购销；股权投资；国内贸易；经营进出口业务；（以上法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）。,1863,物联网与移动互联网无线通信技术和应用的推广及其解决方案,SZSE
002869.SZ,深圳市金溢科技股份有限公司,91440300761987321E,罗瑞发,罗瑞发,张晓城,17691.4991,20040520,广东,深圳市,"深圳市金溢科技股份有限公司2004年成立于有中国“硅谷”之称的深圳高新技术产业园内,是中国领先的智慧交通与物联网核心设备及解决方案提供商,中国电子不停车收费行业领军企业。金溢科技始终坚持聚焦客户、持续创新、开放合作,以高速公路智慧交通、城市智慧交通、公安交通管理、前沿交通、物流追溯五大业务领域为核心,为政府、运营单位、终端用户提供端到端的解决方案、产品及服务,并致力于构建一个将人、车、路、场、环境等交通要素360°无缝感知的高效、便捷、绿色、安全、舒适的城市交通物联网,以打造一个上得了高速、下得了停车场、进得了商圈、回得了家园的美好车生活场景,让交通更智慧,让生活更简单。金溢科技旗下拥有6个子公司、5个分公司、3个办事处,业务遍及全国28个省市及全球30多个国家。金溢科技集研发、生产、销售和服务于一身,拥有强大的技术力量、专业高效的生产线以及完善的营销服务体系,依托“交通+IT”双基因优势,为客户提供极具竞争力的智慧交通解决方案和产品。",www.genvict.com,ir@genvict.com,深圳市南山区粤海街道科技南路16号深圳湾科技生态园11栋A座18-20层01-08号,一般项目：通信设备销售；通信设备制造；通信传输设备专业修理；移动通信设备制造；移动通信设备销售；移动终端设备制造；移动终端设备销售；互联网设备制造；互联网设备销售；网络设备制造；网络设备销售；网络技术服务；物联网设备制造；物联网设备销售；物联网技术研发；物联网应用服务；物联网技术服务；智能车载设备销售；智能车载设备制造；专用仪器制造；计算机软硬件及外围设备制造；计算机软硬件及辅助设备零售；计算机软硬件及辅助设备批发；信息系统集成服务；人工智能行业应用系统集成服务；人工智能应用软件开发；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；软件开发；软件销售；新兴软件和新型信息技术服务；信息技术咨询服务；信息咨询服务（不含许可类信息咨询服务）；互联网数据服务；数据处理和存储支持服务；数据处理服务；互联网销售（除销售需要许可的商品）；租赁服务（不含许可类租赁服务）；非居住房地产租赁；货物进出口；技术进出口；智能仪器仪表制造；智能仪器仪表销售；计量技术服务；在线能源计量技术研发；在线能源监测技术研发；仪器仪表制造；地理遥感信息服务；导航、测绘、气象及海洋专用仪器制造；导航、测绘、气象及海洋专用仪器销售；智能无人飞行器制造；智能无人飞行器销售；航空运输设备销售；航空运营支持服务；紧急救援服务；储能技术服务；光伏设备及元器件制造；光伏设备及元器件销售；光伏发电设备租赁；太阳能发电技术服务；智能输配电及控制设备销售；新能源汽车换电设施销售；风电场相关装备销售；风电场相关系统研发；风力发电机组及零部件销售；电池销售；电池制造；电池零配件销售；蓄电池租赁；电池零配件生产；海上风电相关装备销售；海上风电相关系统研发；发电机及发电机组销售；发电机及发电机组制造；电机制造；充电桩销售；机动车充电销售；充电控制设备租赁；电动汽车充电基础设施运营；输配电及控制设备制造；集中式快速充电站；汽车零配件批发；汽车零配件零售；汽车零部件及配件制造；电力设施器材制造；电力设施器材销售；新能源原动设备制造；新能源原动设备销售；节能管理服务；工程管理服务；交通及公共管理用标牌销售；交通及公共管理用金属标牌制造。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可经营项目：建设工程施工。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）,749,专用短程通信(DSRC)、无线射频识别(RFID)技术在智能交通射频识别与电子支付行业的应用开发、产品创新与推广,SZSE
002881.SZ,美格智能技术股份有限公司,91440300799218456D,王平,王平,黄敏,30200.97,20070405,广东,深圳市,"美格智能技术股份有限公司成立于2007年,总部位于深圳市宝安区,并在深圳、上海、西安、武汉分别设立研发中心。公司整体员工规模3500人左右,其中研发人员接近600人,获得了国家级高新技术企业认证和深圳市高新技术企业认证。公司于2017年06月在深交所中小板成功上市。公司的核心业务是以新一代信息技术和远距离无线数据传输技术为基础的物联网智能终端、无线通信模组(M2M)及智能硬件的研发生产销售,以及精密模具开发和精密组件生产销售。公司的物联网智能终端、LTE模组产品及无线数据解决方案已经在移动支付、车联网、安防、工业路由、消费类电子、智能电力、智能抄表、智能终端、物品追踪等领域形成大规模应用。精密组件业务已进入国内顶尖消费品牌的核心供应商行列。",www.meigsmart.com,ir@meigsmart.com,深圳市福田区深南大道1006号深圳国际创新中心B栋三十二层,一般经营项目：移动通讯终端、物联网终端设备、移动通讯模块、移动产品、电子产品的研发及技术服务；集成电路软硬件的设计研发、销售和技术服务；国内贸易，货物及技术进出口。(法律、行政法规或者国务院决定禁止和规定在登记前须经批准的项目除外)许可经营项目：移动通讯终端、移动产品、电子产品的生产。,983,是全球领先的无线通信模组及解决方案提供商，以智能模组、尤其是高算力智能模组为核心，推动智能化、端侧AI及5G通信的广泛应用,SZSE
603236.SH,上海移远通信技术股份有限公司,913100005631196115,钱鹏鹤,钱鹏鹤,郑雷,40295.2787,20101025,上海,上海市,公司主要从事通信技术、电子科技、计算机软硬件领域内的技术开发、产品开发与销售。公司是专业的物联网(M2M)技术的研发者和无线模块的供应商，提供物联网无线通信模块解决方案的一站式服务。,www.quectel.com,yiyuan@quectel.com,上海市松江区泗泾镇外婆泾路8号(横港路288弄1-5号),许可项目：货物进出口；技术进出口。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：通信技术、电子科技、仪器仪表、计算机硬件领域内的技术开发、技术咨询、技术服务、技术转让；计算机软硬件及辅助设备（除计算机信息系统安全专用产品）、电子产品、仪器仪表、电子元器件、通讯设备的销售；电子配件组装和销售。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,8956,从事物联网领域蜂窝通信模块及其解决方案的设计、研发与销售服务,SSE
002970.SZ,深圳市锐明技术股份有限公司,914403007412480386,赵志坚,望西淀,张炯,18271.5062,20020903,广东,深圳市,锐明技术成立于2002年，致力于以视频为核心的商用车监控信息化产品的研发、生产及销售。截至2018年6月30日，锐明技术共有员工1000余人，其中研发人员近400人。锐明技术在深圳、重庆、上海、南京、北京、成都等地均设有技术研发中心，研发投入连续多年保持在销售额10%以上的水平，占比居行业前列。基于持续的研发投入，以及对用户需求的深度挖掘，锐明技术在商用车视频监控及信息化服务领域已取得国内外专利160余项。锐明技术以解决用户痛点、帮助用户创造价值为目标，以视频图像处理技术为核心，融合卫星定位、物联网传感器、车载电子工程及无线通讯等技术，不断对产品进行迭代更新，逐步发展形成了系统化、智能化的系统终端产品及行业解决方案。锐明技术以深圳为中心，辐射国内20多个省市以及北美、欧洲、中东等地，建立以子公司、办事处等为载体的营销和售后服务机构体系。锐明技术的产品和解决方案广泛应用于全球多个国家和地区，成功为北京奥运会、上海世博会、济南大运会、全国两会、美国校车、新加坡公交、土耳其出租、印度公交、厄瓜多尔综合交通等大型交通安保项目提供视频监控及信息化服务。根据2016年IHS机构报告，锐明技术在全球车载移动视频监控市场占有率排名全球第二。作为车载综合监控智能化、高清化、综合化及网络化的见证者、践行者和重要推动者，锐明将始终秉承“责任、专业、团队、创新、奋斗”的核心价值观，服务社会的和谐发展，为人们更安全的出行锐意进取、孜孜以求。,www.streamax.com,infomax@streamax.com,广东省深圳市南山区学苑大道1001号南山智园B1栋21-23楼,"一般经营项目：电子产品(含安防设备及系统、计算机软件、硬件产品及辅助设备、通信设备及其辅助设备、多媒体设备、车载终端设备、监控设备)、智能装备、汽车零部件及配件、车用电气信号设备装置的研发、生产；销售自产产品；提供技术咨询、技术服务,电子设备安装,电子工程和信息系统的设计、集成、施工及维护；安全技术防范工程的设计、施工、维护；电子设备、计算机及通讯设备、安防设备、车载终端设备、软件平台的租赁（不配备操作人员的机械设备租赁，不包括金融租赁活动）；自有物业租赁；货物进出口、技术进出口、代理进出口；第二类医疗器械销售。",2231,主要从事以视频为核心的商用车监控信息化产品的研发、生产和销售。,SZSE
688159.SH,深圳市有方科技股份有限公司,91440300793892618P,王慷,王慷,李子瑞,9290.882,20061018,广东,深圳市,"深圳市有方科技股份有限公司(以下简称“有方”)是一家专注于为产业物联网提供通信接入产品和服务的国家级高新技术企业,产品涵盖了2G/3G/4G/NB-IoT/eMTC等无线通信模块,广泛应用于能源计量、车联网、移动支付、共享设备、安防监控等行业,助力客户搭建最稳定可靠的IoT系统。有方的目的是“为客户创造价值、赢得客户的满意”,使命是“为客户提供通信更可靠的产品和更贴心的服务”。公司一直以“服务、精细、纪律、速度”为行为准则并严格要求自己,坚持“持续改进,追求卓越”的核心价值观,志在成为全球最受尊敬的物联网通信接入产品和服务提供商。有方具有强大的技术和产品研发实力,拥有业界领先的射频及可靠性专家团队,研发人员数量占公司员工的比例接近50%。独创完善的产品数据保护机制,产品性能稳定可靠,并获得全球多种认证。多项产品、技术全球领先。2G时代,公司推出行业经典的纯数据GPRS模块M590,以差异化和高品质奠定了市场基础;2015年,物联网行业应用逐步转向4G技术,全网通4G模块N710率先实现大规模商用。公司通过了“IATF16949汽车行业质量管理体系认证”,将着力打造车规级产品。有方不断追求技术创新。迄今为止,已获授权及实审状态的专利数量有33个、软件著作权38项。与此同时,公司积极承担国家技术创新项目,分别于2013年承担《M2M物联网无线工业模块技术创新项目》,于2015年承担《智能低功耗无线传感网络技术研发项目》。根植中国,服务全球。公司拥有专业的营销团队及庞大的技术支持团队,同时在北京、上海、杭州、南京、福州、西安、香港、欧洲、美国、俄罗斯、印度、东南亚等地区和国家设立了办事处及分支机构,为客户提供快速、专业的技术支持与贴心的服务。公司产品已销往全球40多个国家和地区,模块在网容量超过4000万台。GPRS模块和4G全网通模块市场占有率持续领先。2010至今,有方在中国电力行业市场和中国铁塔基站监控市场连续多年市场占有率持续保持领先。未来,所有的有方人将继续坚守有方的目的和使命,携手客户和合作伙伴,共同积极探索和挖掘物联网的价值,让21世纪的人类社会更加高效、环保、便捷。",www.neoway.com,nw@neoway.com,深圳市龙华区民治街道北站社区汇德大厦1号楼43-44楼,一般经营项目：电子产品的技术开发、销售；电子通讯产品、通讯模块的技术开发及销售；通讯模块软件的技术开发、销售及相关技术咨询；车联网终端、车载智能终端、物联网通信终端的技术开发及销售；照明灯具的研发、销售与技术咨询；其它国内商业、物资供销业，货物及技术进出口；计算机软硬件及外围设备制造；计算机软硬件及辅助设备批发；计算机系统服务；云计算设备制造；云计算设备销售；云计算装备技术服务；网络与信息安全软件开发；信息安全设备销售；数据处理和存储支持服务；信息系统集成服务；信息系统运行维护服务；智能控制系统集成；人工智能应用软件开发；人工智能行业应用系统集成服务；对外承包工程，工程安装和实施，工程技术服务。许可经营项目：电子通讯产品、通讯模块、车联网终端、车载智能终端、物联网通信终端的生产加工；照明灯具的生产与组装。,451,物联网无线通信模块、物联网无线通信终端和物联网无线通信解决方案的研发、生产（外协加工方式实现）及销售。,SSE
688080.SH,北京映翰通网络技术股份有限公司,91110105802095822J,李明,李红雨,李烨华,7365.6132,20010529,北京,北京市,北京映翰通网络技术股份有限公司（股票代码：430642）是物联网（IoT）技术公司，成立于2001年，工业级联网通信产品&物联网整体方案提供商，产品及技术处于行业先进水平！公司主要向客户提供安全可靠的边缘计算网关、工业LTE路由器、车载网关、工业以太网交换机、工业无线数据终端、安卓工控机等物联网产品；以及在此基础上结合传感器与云端数据分析技术而推出的垂直细分行业的物联网解决方案，包括“智能配电网状态监测系统”、“智能售货机系统”、“工业设备远程维护监控系统”、“智能车辆管理系统”等物联网创新解决方案等，帮助目标行业实现物联网智能化升级。主要应用于电力、自动化、交通、零售、医疗、农业、环保、地震、水利、油气等行业，客户及业务合作伙伴覆盖了众多目标行业内的领先企业，例如国家电网、南方电网、富士冰山、GE医疗、施耐德电气、飞利浦、罗克韦尔等，业务遍及全球，获国内外高度认可！映翰通自成立以来，不断获得众多客户的认可和好评，并先后获得众多国内外著名商业机构认可，2007年起连续获得德勤（中国）高科技高成长50强称号，被美国著名商业媒体“红鲱鱼”评为2007年亚洲创新企业200强、2008年亚洲创新企业100强，2010年入选中关村战略性新兴产业高成长50强，中关村高新技术企业，2011年、2015年获评中关村信用培育双百企业，连续多年获评高新技术企业，2016年、2017年入选中关村高成长企业TOP100，2017年荣登“2017新三板创新百强榜”，2016年、2017年、2018年连续三年荣登“瞪羚企业”榜。,www.inhand.com.cn,inhand@inhand.com.cn,北京市朝阳区紫月路18号院3号楼5层501室,技术开发；技术推广；技术转让；技术咨询；技术服务；计算机技术培训(不得面向全国招生)；技术进出口；货物进出口；代理进出口；销售通信技术产品及配件、电子计算机软硬件及外围设备；电力自动化系统及相关电力系统自动化产品的开发、设计、委托加工；委托加工、生产通信技术产品及配件、计算机软硬件及辅助设备；销售电子产品、机械设备；设计、制作、代理、发布广告；商用密码产品的开发、生产及销售。(市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。),380,"工业物联网技术的研发和应用,为客户提供工业物联网通信(M2M)产品以及物联网(IoT)领域“云+端”整体解决方案",SSE
688618.SH,深圳市三旺通信股份有限公司,91440300732050644R,熊伟,熊伟,熊莹莹,11018.563,20010906,广东,深圳市,"深圳市三旺通信股份有限公司成立于2001年，是专注于工业互联网的高新技术企业，面向工业经济数字化、网络化、智能化的基础设施需求，致力于工业互联网通信产品的研发、生产和销售。
公司深耕工业级市场近20年，是国内较早从事工业互联网通信产品的公司之一，拥有较为齐全的产品体系，主要产品为工业以太网交换机、嵌入式工业以太网模块、设备联网产品、工业无线产品等。公司聚焦工业级产品的可靠性、实时性、安全性及下游行业应用需求，较好地解决了高低温、高粉尘、高电压、潮湿、腐蚀、无人值守、剧烈振动冲击、极强电磁干扰等严酷工业环境中的通信应用问题，产品应用已覆盖智慧城市、智慧矿山、轨道交通、电力及新能源、智能制造等领域。公司通过了高新技术企业认证、软件企业认证、国家规划布局内重点软件企业认证。公司获广东省科技厅评为“广东省工业网络传输设备工程技术研究中心”，入选了广东省工业和信息化厅“广东省工业互联网产业生态供给资源池企业”名录，先后被深圳市工业总会评为 “第十五届深圳企业创新纪录自主创新新锐企业”、“第十八届深圳企业创新纪录自主创新标杆企业”。",www.3onedata.com.cn,688618public@3onedata.com,深圳市南山区西丽街道百旺信高科技工业园1区3栋,一般经营项目：计算机产品、数据通信产品、计算机软件的技术开发与购销；工业互联网设备制造与销售、信息安全设备制造；商用密码产品销售、移动终端设备制造、工业控制计算机及系统销售；集成电路芯片设计及服务；国内贸易；经营进出口业务。（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）。许可经营项目：计算机产品、集成电路、数据通信产品、计算机软件的生产。,523,工业互联网通信产品的研发、生产和销售,SSE
920249.BJ,利尔达科技集团股份有限公司,91330100734504929J,叶文光,陈凯,孙其祖,42163.0,20011219,浙江,杭州市,利尔达科技集团股份有限公司是物联网产品研发、技术应用、服务落地的一站式合作伙伴，致力于“让万物互联更简单！”。公司总部位于杭州，注册资金39886万元，2015年3月已在新三板成功挂牌（证券代码：832149）。产品全面：利尔达产品线覆盖无线领域，为客户提供半导体分销服务和云管端完整解决方案，自主研发了5G、RF、LoRa、NB-IoT、Cat.1、Wi-SUN、Wi-Fi、BLE、ZigBee等成熟而全面的无线技术方案，推出智慧照明、四表集抄、智慧出行、物流追踪定位、AI识别、IoT基础服务云平台等解决方案，应用到智慧医疗、汽车电子、光伏逆变等诸多领域。技术创新：利尔达致力于研发行业领先的射频、通信、组网、嵌入式微控制等物联网技术，拥有300名以上专业技术研发人员。20年来多领域的实践应用经验提升了利尔达对行业的理解与洞察，助力客户降本增效。截至2022年6月30，利尔达拥有54项发明专利、221项实用新型专利、80项外观设计专利以及359项软件著作权，取得了“浙江省电子信息产业百家重点企业”、“浙江省创新型试点企业”和“浙江省专精特新中小企业”等诸多荣誉，持续上榜“世界物联网企业500强”。服务支持：公司以“万物互联，利尔智达天下”为指引，始终践行“尽心尽力，成就你我”的价值观，在全国各地设立20余家服务网点，可迅速便捷地为客户提供行业咨询、应用支持、嵌入式软件定制、供应链、ODM、OEM等全方位服务，荣获“中国优质名牌产品”、“浙江省著名商标”、“浙江省专利示范企业”等称号。作为国家重点领域高新技术企业、国家火炬重点高新技术企业和国家电子信息产业基地实训中心，利尔达参与了多项国家及行业标准的起草，是国家物联网基础标准工作组重要成员之一。公司将继续加大研发投入，以创新的产品和技术赋能客户，持续提供服务，与更多的合作伙伴携手助力实现智慧未来。,www.lierda.com,sunqz@lierda.com,杭州市文一西路1326号利尔达物联网科技园1号楼1802室,单片机、集成电路、计算机软硬件、网络产品、电子产品、物联网的技术开发、技术服务，增值电信业务；电子产品的生产、加工；批发、零售：电子产品；货物进出口(法律、行政法规禁止经营的项目除外，法律、行政法规限制经营的项目取得许可证后方可经营)；成年人的非证书劳动职业技能培训(涉及前置审批的项目除外)；照明灯具、照明控制设备、照明控制系统、教学仪器设备、灯具配件的技术开发、制造、加工、批发、零售，电光源技术的技术开发，节能技术的技术服务，合同能源管理。其他无需报经审批的一切合法项目。(依法须经批准的项目，经相关部门批准后方可开展经营活动),976,IC增值分销业务和物联网模块及物联网系统解决方案的研发、生产和销售。,BSE
301608.SZ,深圳市博实结科技股份有限公司,914403006894367945,周小强,周小强,向碧琼,13259.51,20090604,广东,深圳市,"深圳市博实结科技股份有限公司是专业从事物联网智能化硬件产品的研发设计、生产和销售的高新技术企业,以通信、定位、AI等技术应用为核心,基于自研无线通信模组,为物联网众多应用场景提供智能终端产品及配套解决方案。目前,公司产品主要应用于智能交通、智慧出行和智能支付硬件三大领域。在智能交通领域,公司以“提升安全、提高效率、辅助监管”为目标,为车联网行业提供智能车载终端产品。在智慧出行领域,公司以“帮助客户实现更高效、更便捷的出行服务”为目标,为两轮绿色出行行业提供智慧出行组件。在智能支付硬件领域,公司以“更智能、更便捷”为目标,为移动支付行业用户提供稳定、安全、可靠的物联网智能支付硬件。",www.bsjkj.com,bsjir@bsjkj.com,深圳市龙华区民治街道北站社区汇德大厦1号楼2701、2702、2703,一般经营项目是：电子产品、通讯产品、计算机软硬件的技术开发与销售；电子显示系统及其设备的销售；国内贸易，货物及技术进出口。（法律、行政法规、国务院决定规定在登记前须经批准的项目除外），许可经营项目是：经营增值电信业务；第二类增值电信业务中的信息服务业务；汽车行驶记录仪、汽车防盗报警系统、GPS/北斗车载终端、视频监控设备、智能锁具、智慧家庭硬件产品的生产与销售；电子产品、电子通信类硬件产品的维修、加工与生产。,1737,智能车载终端、智慧出行组件、智能支付硬件、无线通信模组及其他智能硬件等物联网智能化硬件产品的研发设计、生产和销售。,SZSE
