api_name,scope,status,row_count,min_date,max_date,field_count,fields,message
stock_basic,all_listed,ok,5528,,,8,"ts_code,symbol,name,area,industry,market,exchange,list_date",
daily,移为通信:300590.SZ,ok,2181,20170111,20260612,11,"ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount",
daily_basic,移为通信:300590.SZ,ok,2181,20170111,20260612,10,"ts_code,trade_date,close,turnover_rate,volume_ratio,pe,pb,ps,total_mv,circ_mv",
adj_factor,移为通信:300590.SZ,ok,2285,20170111,20260612,3,"ts_code,trade_date,adj_factor",
income,移为通信:300590.SZ,ok,51,20170418,20260423,11,"ts_code,ann_date,f_ann_date,end_date,report_type,total_revenue,revenue,operate_profit,total_profit,n_income,n_income_attr_p",
balancesheet,移为通信:300590.SZ,ok,55,20170418,20260423,9,"ts_code,ann_date,f_ann_date,end_date,total_assets,total_liab,total_hldr_eqy_inc_min_int,total_cur_assets,total_cur_liab",
cashflow,移为通信:300590.SZ,ok,51,20170418,20260423,8,"ts_code,ann_date,f_ann_date,end_date,n_cashflow_act,n_cashflow_inv_act,n_cash_flows_fnc_act,c_cash_equ_end_period",
fina_indicator,移为通信:300590.SZ,ok,63,20170427,20260423,10,"ts_code,ann_date,end_date,roe,roa,grossprofit_margin,netprofit_margin,rd_exp,ocfps,bps",
forecast,移为通信:300590.SZ,ok,25,20170408,20260130,10,"ts_code,ann_date,end_date,type,p_change_min,p_change_max,net_profit_min,net_profit_max,summary,change_reason",
express,移为通信:300590.SZ,ok,6,20170228,20260312,10,"ts_code,ann_date,end_date,revenue,operate_profit,total_profit,n_income,total_assets,total_hldr_eqy_exc_min_int,diluted_eps",
dividend,移为通信:300590.SZ,ok,34,20170418,20260423,12,"ts_code,ann_date,end_date,stk_div,stk_bo_rate,stk_co_rate,cash_div,cash_div_tax,record_date,ex_date,pay_date,div_proc",
repurchase,移为通信:300590.SZ,ok,28,20200428,20241209,9,"ts_code,ann_date,end_date,proc,exp_date,vol,amount,high_limit,low_limit",
pledge_stat,移为通信:300590.SZ,ok,545,20170113,20260612,7,"ts_code,end_date,pledge_count,unrest_pledge,rest_pledge,total_share,pledge_ratio",
stk_holdernumber,移为通信:300590.SZ,ok,87,20170427,20260507,4,"ts_code,ann_date,end_date,holder_num",
